N,P,K,temperature,humidity,ph,rainfall,crop
90,50,32,23.462,79.3487,6.6688,300.0,rice
89,42,38,21.4949,78.0356,6.2941,236.7766,rice
72,63,46,23.463,81.4648,6.2562,235.4179,rice
77,52,36,22.9227,76.8238,6.2837,234.2762,rice
83,38,42,24.1454,79.2318,6.6972,240.9425,rice
90,53,44,21.8455,76.0106,6.2895,230.6692,rice
75,40,35,24.5387,91.8236,6.6449,217.7901,rice
78,54,40,26.5655,82.1763,7.5377,218.5942,rice
69,57,24,23.2825,78.5014,6.9356,234.0174,rice
68,41,35,24.3034,83.0699,6.337,218.6973,rice
88,56,39,24.8803,81.4384,7.1006,213.6146,rice
94,51,34,22.6976,80.8952,6.296,238.1929,rice
79,55,48,23.9482,85.0708,5.4809,227.3507,rice
90,63,33,23.5252,85.7875,5.996,280.1198,rice
84,46,38,23.6954,79.3475,5.5646,155.4709,rice
74,42,41,21.954,79.1209,6.3242,267.7452,rice
84,41,47,23.549,80.6247,6.5092,272.3826,rice
95,41,33,24.496,70.4904,7.3382,172.7983,rice
80,47,46,26.4023,74.424,6.6635,224.7194,rice
96,51,40,25.4185,88.8344,6.3904,223.8568,rice
54,50,35,27.8064,90.2248,6.9147,192.7746,rice
88,55,42,21.9653,80.7548,5.3944,211.6655,rice
81,48,41,25.2446,84.8828,6.6178,201.6827,rice
77,60,37,23.8667,83.5563,6.8854,287.5681,rice
81,46,40,27.8796,97.3944,5.7607,263.0704,rice
60,70,38,21.8834,87.5979,7.0719,273.1467,rice
78,53,41,21.8206,81.3604,6.6692,256.6502,rice
84,41,43,22.3012,77.2223,6.2924,201.1284,rice
95,39,48,19.2522,73.9678,6.8164,219.2644,rice
75,52,34,22.4485,83.0173,7.6353,249.6812,rice
72,46,51,21.9817,78.2182,6.5909,198.3362,rice
75,54,30,23.8008,74.8887,6.6241,256.39,rice
89,52,39,24.1835,78.7671,6.2703,227.7902,rice
83,47,43,27.2523,76.5923,6.0751,223.7554,rice
75,41,41,25.4008,90.4357,6.9152,256.3288,rice
85,36,37,22.3462,86.4082,6.072,248.3279,rice
81,44,39,21.7032,81.9601,6.5358,224.171,rice
90,55,38,24.4838,89.3997,6.2612,269.7799,rice
73,50,37,20.8595,82.3868,6.7395,202.5681,rice
77,38,44,27.1629,77.6936,6.6668,253.4781,rice
76,49,42,25.8589,89.6156,7.0188,252.793,rice
65,51,37,22.5616,84.6946,6.245,225.7136,rice
83,41,44,20.0737,76.8138,6.3651,244.784,rice
83,49,42,26.2077,81.0483,6.0106,197.4666,rice
80,48,44,23.2709,77.6219,6.2779,262.7208,rice
78,39,43,25.9756,75.086,6.6887,229.4529,rice
72,55,21,26.6981,72.9841,6.2501,74.9786,maize
91,44,18,25.2739,41.83,6.0282,99.8806,maize
70,49,20,22.6789,81.707,6.2489,82.3756,maize
61,45,25,20.5592,63.8833,6.4173,73.6638,maize
59,45,21,24.5947,73.8655,6.2195,93.0476,maize
85,46,20,23.6805,56.6808,6.2162,71.523,maize
63,50,15,25.1856,69.9022,5.9192,85.4227,maize
99,45,23,24.4055,56.5727,5.9348,84.8632,maize
53,57,23,25.6487,60.0098,5.639,101.2884,maize
98,42,29,20.8943,80.3123,6.8998,92.1205,maize
81,47,19,26.4522,63.4745,5.7025,84.6246,maize
77,45,21,23.0928,66.7395,5.9228,97.2665,maize
71,58,21,28.7258,71.9605,5.9126,105.8531,maize
83,49,26,20.4324,68.9655,6.558,93.3672,maize
78,55,20,27.7079,66.2034,6.082,85.1553,maize
91,38,21,23.0937,67.9197,6.6991,65.3225,maize
79,50,22,20.5457,84.2273,5.9306,69.0233,maize
80,54,21,21.0483,64.539,6.3116,80.4216,maize
74,49,18,21.539,66.6088,5.8659,75.8573,maize
77,55,21,23.7725,73.4052,7.0581,82.1954,maize
82,44,24,24.0685,73.8442,5.725,85.8497,maize
57,58,16,20.7789,74.4962,6.3239,92.9454,maize
62,64,21,22.4269,70.1098,6.4535,83.9425,maize
87,45,17,28.9268,55.856,6.3655,92.2975,maize
80,45,25,27.6826,78.0675,6.1259,85.9671,maize
76,58,14,23.809,55.8292,6.1481,55.368,maize
78,59,18,22.614,67.4211,6.2175,70.91,maize
82,44,22,22.8601,58.9658,6.1412,82.8387,maize
72,45,26,24.3406,64.4869,6.5856,66.8546,maize
69,46,20,19.4316,67.6301,7.0842,93.9989,maize
80,39,18,21.7279,67.5709,5.977,107.9613,maize
66,42,28,17.4942,68.3754,5.6521,103.2814,maize
83,41,14,23.6977,77.9097,6.1647,81.7984,maize
58,43,11,24.4416,68.6283,7.2319,107.3609,maize
90,48,22,21.0504,63.0467,5.8785,87.23,maize
84,50,18,27.222,72.7127,6.8556,79.9437,maize
81,59,16,18.8227,74.5158,6.8711,75.799,maize
90,41,23,18.1069,55.1791,5.9786,80.463,maize
98,55,21,23.1734,69.7792,6.4276,79.1773,maize
90,47,18,25.6413,70.6094,6.8514,87.5562,maize
56,48,15,27.5518,62.6195,6.0483,87.4086,maize
63,53,23,21.1233,76.0057,6.1186,85.0457,maize
71,40,23,25.736,63.7996,5.9673,91.5541,maize
78,51,20,22.3845,66.0046,5.7941,102.8597,maize
84,49,27,21.9821,63.6154,5.9403,99.2433,maize
69,51,16,25.151,65.1246,5.7104,62.7265,maize
80,50,14,24.457,56.2298,6.2136,46.6912,maize
69,65,17,17.7708,53.4796,5.892,99.0148,maize
71,44,20,26.9296,77.756,6.2935,64.4968,maize
61,44,21,26.6403,58.2243,5.5776,81.6285,maize
67,44,19,20.6233,57.0689,6.3324,67.4483,maize
62,44,21,23.6874,47.7729,6.5334,57.9703,maize
66,44,15,23.9821,59.8883,5.4025,93.1219,maize
91,56,26,23.282,54.4153,6.3496,96.3873,maize
67,58,20,20.8491,78.1361,6.6911,76.3523,maize
110,44,24,20.4851,73.0785,5.7161,46.1344,maize
84,42,21,22.4233,59.4948,6.869,76.8063,maize
80,51,22,26.0182,83.0195,6.3676,90.8771,maize
68,44,22,24.1308,72.8541,5.918,62.8163,maize
86,52,22,21.3882,62.4013,6.1777,87.7504,maize
71,49,23,24.8151,45.0048,6.4233,84.7704,maize
79,37,25,13.9544,83.3275,6.2304,93.6894,maize
109,59,21,25.9463,53.8834,6.4155,86.7937,maize
77,61,23,17.2809,51.8368,5.8317,70.404,maize
92,44,20,21.4127,73.1806,6.2677,102.9486,maize
70,45,26,19.141,84.518,5.6345,82.6221,maize
78,50,17,18.616,76.0742,6.1555,84.5904,maize
99,50,27,25.9825,69.5113,5.8384,71.001,maize
70,53,20,21.0969,69.758,5.9058,78.3508,maize
100,62,14,23.5395,71.8273,6.6944,71.728,maize
86,47,21,22.3592,71.0714,6.6365,82.4058,maize
71,42,17,23.9311,67.2495,6.4437,110.6756,maize
86,38,23,22.7305,65.8336,5.7631,64.4215,maize
90,43,17,18.651,64.4993,6.0734,60.7966,maize
85,48,18,25.4888,58.9683,6.6852,107.0676,maize
59,61,12,21.0187,62.7546,6.2567,81.8601,maize
69,44,18,17.8303,51.4563,7.1277,74.9639,maize
75,50,10,21.2157,64.2133,6.3573,100.5986,maize
77,48,14,27.0023,57.0913,6.2768,75.9158,maize
85,56,23,25.0507,56.1713,6.0764,112.3901,maize
80,66,23,21.454,66.4392,6.2534,95.1689,maize
62,44,22,21.4522,76.136,6.139,77.6813,maize
83,45,16,21.5351,72.3465,6.4832,117.3596,maize
85,55,20,28.7302,52.436,6.5827,75.9143,maize
85,53,20,23.6458,57.083,5.8856,96.1314,maize
91,61,15,23.7901,72.5262,5.6675,89.4894,maize
88,52,26,25.5909,57.1401,5.4655,104.5261,maize
84,45,24,23.2164,63.2029,6.4032,108.4227,maize
77,52,19,21.7229,69.4004,5.7587,85.4801,maize
58,56,20,21.911,57.2532,5.3388,73.6987,maize
83,54,21,22.2852,65.843,6.3554,91.8996,maize
80,52,12,22.3883,54.3278,7.1972,74.8343,maize
81,55,19,24.6829,60.1891,6.1976,115.2008,maize
63,56,17,22.6558,67.5583,6.5354,87.048,maize
65,58,16,24.6979,52.2561,6.2327,79.5202,maize
91,53,19,22.2579,68.5238,6.1604,87.7702,maize
78,47,27,22.7359,64.8429,6.5676,64.7931,maize
86,49,23,16.5054,69.4199,6.0839,70.4258,maize
78,56,18,25.249,66.7913,6.307,103.0062,maize
78,42,22,23.5395,75.9131,6.3287,75.1466,maize
32,73,79,19.7013,24.6048,7.5788,73.2482,chickpea
44,64,91,19.9784,16.7574,7.1665,78.5548,chickpea
49,62,75,20.2694,14.1664,7.7692,72.0758,chickpea
46,68,74,21.2194,10.9451,7.4479,76.9204,chickpea
48,67,76,19.8196,10.0,7.2571,61.0639,chickpea
34,65,72,18.5175,10.6635,7.4791,82.1329,chickpea
29,73,81,20.3451,18.0685,6.6716,80.0121,chickpea
52,75,93,22.7998,19.0349,6.8493,71.8291,chickpea
37,69,83,18.7347,10.6752,6.8224,86.5925,chickpea
38,78,78,17.0509,20.5802,7.3572,89.3757,chickpea
51,60,78,21.2142,15.0678,7.993,63.9244,chickpea
44,67,67,18.7592,17.5872,8.1925,72.3728,chickpea
44,63,87,14.6547,23.4489,7.5552,72.3086,chickpea
57,55,79,20.6948,20.5874,7.5003,70.601,chickpea
35,67,79,17.9293,15.9259,6.5796,88.2947,chickpea
47,67,106,18.8189,13.4352,7.0829,78.0617,chickpea
40,79,82,19.664,10.0,6.9849,77.3549,chickpea
42,72,74,19.381,14.1234,7.0517,59.9614,chickpea
52,61,77,20.4189,16.1555,7.2327,86.3542,chickpea
44,81,89,18.129,13.0513,7.1112,67.6074,chickpea
44,77,81,20.0262,16.475,6.5083,80.5993,chickpea
49,72,68,18.4809,17.3074,7.5992,82.7738,chickpea
37,66,87,20.4776,16.1006,6.8709,93.6066,chickpea
33,61,75,20.2307,14.4,7.3957,66.9118,chickpea
32,65,95,17.1291,17.6746,8.1296,49.8049,chickpea
24,76,89,21.172,18.7678,6.9322,81.8385,chickpea
56,81,76,17.9281,12.6384,6.2879,98.0051,chickpea
31,79,90,20.6161,22.6437,7.1856,92.3895,chickpea
38,65,81,19.7346,16.6056,7.7404,82.0966,chickpea
38,60,87,22.6764,17.0754,8.0833,75.0836,chickpea
42,69,84,18.5531,19.8329,6.8082,88.0712,chickpea
47,56,73,18.3014,17.9329,7.4987,70.2645,chickpea
47,70,75,18.9612,20.8125,7.1139,84.7636,chickpea
35,67,88,18.3936,18.1485,7.2576,85.0547,chickpea
39,65,77,20.5999,14.5503,8.3577,90.6021,chickpea
42,57,77,15.7674,18.446,6.6988,107.5966,chickpea
38,72,72,16.8926,12.4251,7.4015,83.9242,chickpea
53,64,83,16.8644,17.4342,7.4871,74.9104,chickpea
44,60,97,20.9006,16.8671,7.7343,79.7443,chickpea
46,48,71,22.4212,16.1675,7.3392,62.3092,chickpea
45,68,80,18.7911,16.4858,7.4232,73.0529,chickpea
49,80,91,18.6624,10.0,7.1433,75.9072,chickpea
41,80,79,19.1401,14.8051,7.4077,74.7591,chickpea
30,65,84,21.3238,17.3714,7.1627,81.5235,chickpea
43,64,72,17.1453,17.6394,7.5486,71.7758,chickpea
35,71,83,19.4767,12.8893,7.1522,91.2103,chickpea
36,61,79,20.9504,22.0628,7.4508,80.0021,chickpea
45,70,88,20.0022,13.5353,7.2883,79.907,chickpea
50,73,89,19.3792,20.8778,7.7504,76.7211,chickpea
40,77,101,21.0021,18.7088,7.2794,81.5519,chickpea
42,67,85,13.5935,14.4151,6.5908,88.251,chickpea
54,67,83,20.3558,24.1012,7.8048,71.3287,chickpea
42,62,82,17.6918,12.2255,6.9377,73.4188,chickpea
61,62,77,15.3387,20.6766,7.0385,76.9627,chickpea
45,66,83,20.0224,21.0023,7.0617,66.5413,chickpea
26,71,78,21.7473,14.3175,7.8498,71.8074,chickpea
46,74,81,18.7251,22.5699,6.4457,75.2378,chickpea
43,62,91,20.9057,15.9998,8.5551,88.7439,chickpea
50,78,72,22.2246,18.1548,7.7224,82.6256,chickpea
45,66,89,21.6298,18.0413,7.3893,81.9359,chickpea
39,68,91,22.2799,16.4628,7.278,88.509,chickpea
30,63,79,20.4843,20.2432,7.4142,78.6263,chickpea
38,51,63,19.1509,20.174,7.5084,83.9046,chickpea
33,74,75,15.7961,10.0059,7.5581,78.9678,chickpea
35,73,90,18.5079,22.2174,7.5222,82.6536,chickpea
45,66,80,17.3135,10.35,7.3358,74.1724,chickpea
53,68,72,23.3419,21.1302,7.2211,55.6118,chickpea
43,72,76,18.6482,21.5068,7.2395,78.6572,chickpea
30,57,87,19.2464,12.6361,7.222,94.2275,chickpea
44,64,84,20.103,15.3567,7.7535,89.2622,chickpea
50,74,78,19.0872,12.5772,7.5374,89.654,chickpea
35,59,77,22.3901,16.1403,6.1238,92.3613,chickpea
39,70,77,17.7547,15.7679,7.5624,80.8866,chickpea
40,59,73,19.3892,20.1186,7.3779,81.9732,chickpea
34,71,93,17.5151,22.2412,7.2925,73.8235,chickpea
45,68,77,16.36,22.5827,7.1446,76.8393,chickpea
39,57,90,17.7765,14.7513,7.7496,86.1577,chickpea
43,76,92,18.9259,16.1631,7.679,92.0388,chickpea
33,63,88,18.1414,10.2662,6.9908,78.6055,chickpea
37,62,77,17.6152,13.7765,7.4628,75.4981,chickpea
46,69,83,16.1874,20.8594,6.9113,80.0053,chickpea
37,76,80,18.8338,23.4623,6.7482,86.0121,chickpea
54,61,73,15.9906,12.0626,7.0493,65.5615,chickpea
37,68,83,20.5201,14.6301,7.645,57.0382,chickpea
42,71,71,19.1649,16.8944,7.6813,74.4946,chickpea
47,73,90,16.0849,18.1206,7.5052,67.7929,chickpea
29,69,76,18.3816,13.7616,7.59,74.9186,chickpea
26,65,82,17.4957,18.6962,7.5065,78.5222,chickpea
28,62,82,19.6383,15.1046,7.0434,75.4675,chickpea
50,69,78,21.6809,16.9422,7.4728,94.5247,chickpea
36,60,85,15.2497,19.1851,7.6202,83.2674,chickpea
60,48,76,19.2301,17.0257,7.6017,83.0047,chickpea
35,71,87,18.6797,15.2545,7.7756,86.2221,chickpea
41,74,69,20.3427,16.5616,7.5833,68.6117,chickpea
52,51,81,19.4264,16.6465,7.4406,90.3911,chickpea
56,61,96,17.4961,15.52,7.7281,79.2424,chickpea
56,72,72,18.3619,15.9648,7.2894,86.7048,chickpea
50,82,75,17.4079,23.3946,6.9473,69.2814,chickpea
48,68,84,21.152,19.2437,7.2348,64.4624,chickpea
45,63,81,19.0426,15.8181,7.002,88.1789,chickpea
22,81,24,18.1957,23.2118,5.137,112.7362,kidneybeans
15,65,16,20.4421,24.4046,5.8859,126.8196,kidneybeans
15,73,18,18.6333,20.5061,5.5094,145.2454,kidneybeans
27,57,21,19.3209,19.6633,5.3431,125.4742,kidneybeans
13,59,28,24.1836,18.2445,5.5127,109.9862,kidneybeans
30,71,32,23.3512,19.0238,5.6446,125.9018,kidneybeans
15,79,22,16.751,30.3473,5.5186,107.8978,kidneybeans
24,70,19,22.0743,25.234,5.0383,105.4781,kidneybeans
18,64,22,22.0285,17.4468,5.9691,97.9717,kidneybeans
24,67,24,17.1293,17.5326,6.0825,136.2683,kidneybeans
17,57,19,22.0469,22.9456,5.8955,88.6314,kidneybeans
19,72,27,23.8448,23.1418,5.3587,135.6474,kidneybeans
20,74,21,17.1936,23.1467,5.6396,114.9973,kidneybeans
14,63,22,17.7062,20.7351,5.698,77.0139,kidneybeans
24,63,23,22.5442,21.1236,5.8796,112.353,kidneybeans
17,69,22,20.6787,22.4836,5.9005,62.9995,kidneybeans
19,64,23,21.3787,21.7577,5.4797,117.5102,kidneybeans
14,66,18,20.8515,14.8421,5.7246,122.7046,kidneybeans
5,84,18,20.9767,20.8106,5.8372,93.1529,kidneybeans
19,65,16,16.6838,18.9458,6.1367,107.471,kidneybeans
34,64,22,22.6183,22.0256,5.9114,144.0831,kidneybeans
25,62,23,22.924,30.4558,5.9367,94.8851,kidneybeans
20,73,22,19.4265,22.6024,5.7251,83.8218,kidneybeans
18,66,27,19.8913,20.5594,6.1231,134.6333,kidneybeans
20,62,20,16.1722,24.2654,5.8229,144.2517,kidneybeans
23,78,23,21.2856,22.9481,5.4417,105.0739,kidneybeans
13,78,16,21.4301,22.7603,6.121,125.2293,kidneybeans
27,62,18,19.8445,23.3206,5.9094,131.8295,kidneybeans
24,52,23,22.8109,27.6696,5.5671,90.1503,kidneybeans
24,75,23,19.1648,18.1073,5.5562,95.2939,kidneybeans
23,62,19,21.4115,22.9209,5.789,129.6175,kidneybeans
20,73,20,17.4508,18.7209,5.839,138.7003,kidneybeans
24,51,14,19.9411,23.1665,5.7592,116.2576,kidneybeans
24,74,19,19.5641,18.7439,5.7934,87.4037,kidneybeans
18,57,24,20.5633,20.2479,6.21,144.7412,kidneybeans
17,73,22,19.0762,20.6147,6.0215,94.3806,kidneybeans
21,67,22,19.6713,24.4275,5.7572,98.2972,kidneybeans
29,59,20,22.0651,24.2554,5.9824,111.8468,kidneybeans
13,64,20,18.9081,17.7628,5.3902,136.0832,kidneybeans
11,72,17,15.9836,21.6648,5.8194,122.0795,kidneybeans
21,68,23,24.374,19.3713,6.2428,113.2973,kidneybeans
20,72,22,23.4536,17.7245,5.6346,114.2658,kidneybeans
21,83,22,16.7693,20.8489,5.4457,105.8703,kidneybeans
21,54,18,21.7243,20.5746,5.5044,116.1628,kidneybeans
19,80,11,18.7426,28.7801,5.3731,54.4088,kidneybeans
29,68,24,20.6587,22.7989,5.4646,99.0679,kidneybeans
10,60,18,20.7356,17.3671,5.5888,109.8264,kidneybeans
15,56,17,19.414,19.8057,5.2783,81.9797,kidneybeans
19,65,23,18.0406,24.5641,5.7047,112.7265,kidneybeans
10,74,18,18.2736,27.7653,5.9707,100.9106,kidneybeans
19,66,24,17.7095,16.7421,5.4277,140.1095,kidneybeans
30,79,22,17.9204,15.8602,6.1558,136.4604,kidneybeans
20,55,23,19.8321,27.1129,5.8532,95.6839,kidneybeans
21,67,15,18.2106,22.6688,6.0092,101.9832,kidneybeans
12,57,25,21.7051,18.8951,5.5026,103.521,kidneybeans
16,70,21,23.7181,23.1039,5.9564,95.9668,kidneybeans
18,74,19,18.5499,13.5928,5.3724,108.9005,kidneybeans
18,64,21,20.5985,21.5101,5.9671,89.8344,kidneybeans
28,46,13,21.2492,22.4835,5.7516,82.3877,kidneybeans
23,69,22,21.18,24.2728,5.866,117.4542,kidneybeans
13,70,16,20.1899,18.4583,5.3473,117.5906,kidneybeans
21,70,15,21.8567,21.7571,5.4315,88.9137,kidneybeans
23,77,14,21.2056,18.7237,5.8792,122.9071,kidneybeans
27,58,24,16.9058,22.2662,5.4155,92.3684,kidneybeans
29,72,17,22.1729,18.814,5.839,110.0633,kidneybeans
14,77,26,22.2182,20.2757,5.2899,121.4069,kidneybeans
15,53,18,18.0918,18.5126,5.9545,104.3277,kidneybeans
12,70,13,20.0948,23.4534,5.3302,114.0948,kidneybeans
19,63,16,21.7083,24.0754,5.8657,94.6714,kidneybeans
23,66,25,19.4767,20.7961,5.8877,101.0707,kidneybeans
26,70,19,22.6824,21.6147,5.491,100.8828,kidneybeans
20,63,18,25.9097,17.1542,5.8746,90.0684,kidneybeans
18,62,21,18.035,20.601,5.7781,101.4645,kidneybeans
21,67,22,16.5474,21.3494,5.5383,74.0276,kidneybeans
15,58,24,20.7595,29.3624,5.3974,95.1769,kidneybeans
33,58,26,21.8039,18.1641,5.1112,99.3025,kidneybeans
10,72,19,19.4228,25.8925,5.8049,99.8764,kidneybeans
21,58,15,23.6332,24.4906,5.2306,100.1701,kidneybeans
32,72,18,16.6535,22.3419,5.7286,103.7647,kidneybeans
20,71,21,21.7323,26.7759,5.621,114.5888,kidneybeans
19,53,16,18.4853,22.6163,5.9037,122.4903,kidneybeans
18,62,16,24.2984,22.6675,5.6094,92.0047,kidneybeans
19,77,21,24.9813,21.3406,5.6012,80.936,kidneybeans
28,59,20,18.0834,25.1707,5.9196,84.1591,kidneybeans
7,63,20,18.6261,24.7894,5.8005,95.2559,kidneybeans
29,71,17,22.149,19.623,5.7948,97.9616,kidneybeans
11,73,19,19.0322,17.5423,5.8408,89.6001,kidneybeans
18,65,16,19.8865,20.8911,5.2393,79.0777,kidneybeans
17,62,24,20.0635,19.0999,5.927,95.8776,kidneybeans
24,78,24,15.2008,21.3094,5.8837,108.6285,kidneybeans
10,81,13,19.9654,25.2123,5.395,116.9006,kidneybeans
23,75,16,18.2757,20.1281,5.6268,93.8515,kidneybeans
32,68,14,18.7672,21.3715,5.6882,96.74,kidneybeans
12,61,17,23.6091,21.6741,5.6597,86.466,kidneybeans
21,60,20,16.8587,24.0453,5.8002,104.3712,kidneybeans
16,71,14,22.033,14.7593,6.1294,88.0314,kidneybeans
23,70,16,19.3026,19.6799,6.0245,116.4626,kidneybeans
20,78,16,19.3006,22.1339,5.3063,69.2827,kidneybeans
16,72,21,21.9759,25.1002,5.8866,97.8074,kidneybeans
23,55,20,20.8501,20.0243,6.0987,111.0221,kidneybeans
22,68,14,25.3793,49.1111,5.9693,162.2857,pigeonpeas
34,65,17,30.0667,50.5527,5.331,164.244,pigeonpeas
23,63,19,32.4484,49.3337,5.9083,154.887,pigeonpeas
16,71,26,30.7118,55.6732,5.2871,147.5289,pigeonpeas
21,56,22,25.3112,42.2861,6.3504,160.8994,pigeonpeas
12,74,16,28.5843,43.938,6.3307,86.6938,pigeonpeas
21,65,21,23.6206,43.364,6.066,167.0517,pigeonpeas
17,59,15,29.2172,52.9812,5.9808,153.1544,pigeonpeas
26,64,23,28.8518,53.4024,6.6806,144.4381,pigeonpeas
18,78,19,21.8906,50.7074,5.7998,201.1716,pigeonpeas
20,64,20,24.0146,55.101,5.2091,133.1266,pigeonpeas
18,71,24,26.6506,40.9318,6.0247,139.9231,pigeonpeas
30,62,16,26.5974,58.0033,6.843,199.7888,pigeonpeas
19,74,16,23.8716,57.1394,5.2926,129.1985,pigeonpeas
30,73,18,28.6669,52.4137,5.6193,136.2471,pigeonpeas
25,83,23,28.2544,58.6908,6.0082,146.3244,pigeonpeas
23,67,15,26.9172,38.0603,5.773,171.0184,pigeonpeas
23,73,12,25.2326,44.8533,5.3088,155.1951,pigeonpeas
23,69,19,30.6461,43.5882,6.3609,117.6844,pigeonpeas
11,78,22,32.4662,52.3289,6.96,136.6958,pigeonpeas
20,62,24,26.0493,41.6992,5.8981,134.8161,pigeonpeas
25,74,19,25.6635,52.545,5.348,148.0695,pigeonpeas
21,66,19,28.9736,56.2232,5.0255,160.6461,pigeonpeas
14,67,23,26.4259,52.1712,5.929,160.4551,pigeonpeas
21,69,14,27.0818,49.7025,6.3519,105.5997,pigeonpeas
30,70,19,29.719,42.0728,6.0376,176.5985,pigeonpeas
27,67,21,21.7719,42.9189,5.7988,156.3142,pigeonpeas
21,70,21,31.4549,55.4977,5.5054,184.6133,pigeonpeas
26,81,18,27.718,52.6761,5.2539,161.105,pigeonpeas
19,76,20,26.2655,47.7659,6.2174,177.5331,pigeonpeas
12,75,13,27.2323,45.4925,6.2569,161.6636,pigeonpeas
16,64,18,27.3873,35.8452,5.0271,183.6556,pigeonpeas
29,61,21,22.3064,41.5749,6.5949,163.0563,pigeonpeas
20,76,17,31.9848,59.4685,6.087,147.5521,pigeonpeas
20,75,20,27.624,40.3173,6.4998,206.8109,pigeonpeas
20,80,21,28.829,49.1369,5.1289,172.2259,pigeonpeas
31,63,19,30.3546,54.0447,5.1171,164.3436,pigeonpeas
29,66,21,24.4365,40.4705,5.7255,118.0924,pigeonpeas
32,55,17,28.9204,49.1083,6.0514,117.7923,pigeonpeas
20,65,19,26.6971,53.6275,6.6982,157.3179,pigeonpeas
22,76,22,30.0403,48.075,6.153,153.638,pigeonpeas
13,64,20,21.1183,65.2104,5.6787,134.6469,pigeonpeas
28,73,18,27.2027,37.9884,5.2868,153.5246,pigeonpeas
15,66,21,25.6915,54.3524,6.415,189.7157,pigeonpeas
22,71,22,28.7968,46.9632,5.3176,167.3851,pigeonpeas
16,59,14,28.9101,52.6315,6.6142,121.4748,pigeonpeas
18,69,23,25.3771,50.6478,5.6578,147.2123,pigeonpeas
17,44,19,25.3635,43.6011,6.5953,129.8758,pigeonpeas
18,67,21,27.168,49.374,6.1395,140.3075,pigeonpeas
18,55,24,24.8101,36.8526,5.7315,139.6596,pigeonpeas
18,78,16,30.026,51.6195,5.5403,138.0589,pigeonpeas
25,74,18,26.3924,49.789,5.6295,118.6216,pigeonpeas
15,72,19,18.779,51.832,6.0142,146.8086,pigeonpeas
22,80,18,26.3755,54.3487,5.8386,135.9848,pigeonpeas
27,60,25,24.3844,50.2057,5.5031,76.7638,pigeonpeas
18,82,17,22.6062,48.8885,5.7172,201.3243,pigeonpeas
