date,commodity,market,district,state,variety,grade,min_price,max_price,modal_price,arrivals
2023-03-28,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2230.79,2548.56,2384.18,3018.08
2023-03-29,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2188.31,2494.89,2340.7,2598.6
2023-03-30,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2263.63,2601.09,2448.03,2439.09
2023-03-31,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2221.58,2676.2,2439.82,3090.15
2023-04-01,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1999.14,2504.51,2220.99,2935.55
2023-04-03,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2307.23,2637.48,2452.33,2279.84
2023-04-04,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2236.73,2714.6,2460.23,3226.91
2023-04-05,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2089.42,2412.02,2260.98,3303.71
2023-04-06,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2221.23,2764.07,2451.53,2066.24
2023-04-07,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2304.19,2824.32,2524.62,3273.79
2023-04-08,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2331.3,2585.82,2462.34,2987.36
2023-04-10,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2316.72,2663.18,2508.3,3447.19
2023-04-11,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2438.13,2806.11,2639.38,3434.33
2023-04-12,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2258.82,2613.53,2413.97,3125.35
2023-04-13,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2191.45,2552.28,2354.49,2261.48
2023-04-14,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2346.3,2566.11,2449.08,3148.6
2023-04-15,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2338.36,2816.99,2558.24,2579.22
2023-04-17,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2390.03,2941.45,2645.47,3408.42
2023-04-18,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2385.39,2699.84,2552.98,3680.84
2023-04-19,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2213.64,2752.25,2451.89,4481.71
2023-04-20,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2246.32,2593.95,2438.41,3932.82
2023-04-21,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2183.9,2491.26,2333.68,2515.29
2023-04-22,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2197.8,2483.41,2343.45,3025.48
2023-04-24,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2060.59,2528.44,2281.35,3449.6
2023-04-25,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2679.48,2902.93,2801.09,2740.53
2023-04-26,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2158.83,2514.68,2314.66,3590.23
2023-04-27,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2015.9,2385.13,2199.54,2563.64
2023-04-28,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2366.07,2581.21,2473.42,3484.35
2023-04-29,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2383.02,2891.19,2599.41,3890.84
2023-05-01,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2182.57,2577.68,2362.66,2376.19
2023-05-02,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2156.6,2511.84,2306.05,2858.08
2023-05-03,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2093.04,2560.81,2307.44,3104.52
2023-05-04,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2273.76,2737.25,2514.95,3215.39
2023-05-05,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2563.73,3077.61,2800.45,3217.34
2023-05-06,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2214.51,2428.91,2318.98,2263.26
2023-05-08,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1954.43,2365.27,2133.96,3688.93
2023-05-09,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2311.02,2700.51,2475.96,3732.19
2023-05-10,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2219.38,2741.59,2465.73,2372.09
2023-05-11,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2427.58,2795.75,2592.09,2634.04
2023-05-12,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2269.18,2797.77,2490.8,3351.27
2023-05-13,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2011.21,2335.63,2188.52,3301.03
2023-05-14,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2359.95,2593.36,2466.43,3702.09
2023-05-15,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2245.96,2582.61,2425.59,3571.73
2023-05-16,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2245.89,2691.37,2442.95,2588.7
2023-05-17,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2050.09,2359.05,2202.04,2432.66
2023-05-18,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2023.45,2281.73,2148.95,3184.82
2023-05-19,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2360.5,2827.92,2581.67,2824.16
2023-05-20,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2168.76,2567.11,2348.51,3594.04
2023-05-22,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2107.25,2337.61,2207.16,2751.34
2023-05-23,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2237.65,2681.76,2456.95,2590.6
2023-05-24,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2298.4,2769.7,2541.14,3018.8
2023-05-25,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2196.01,2615.17,2413.29,3200.61
2023-05-26,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2262.78,2476.68,2373.34,2675.27
2023-05-27,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2403.73,2826.48,2628.56,4062.62
2023-05-29,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2051.92,2560.14,2275.76,3551.61
2023-05-30,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2057.88,2432.83,2236.11,2042.73
2023-05-31,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2319.38,2550.13,2441.2,3823.78
2023-06-01,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2280.5,2611.15,2433.64,3176.19
2023-06-02,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2286.52,2569.18,2405.81,3842.74
2023-06-03,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2159.64,2598.77,2370.69,2508.21
2023-06-05,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2223.49,2553.37,2374.87,4027.53
2023-06-06,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2187.42,2716.45,2414.3,1829.87
2023-06-07,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2369.32,2812.74,2585.96,3225.04
2023-06-08,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2176.55,2479.61,2316.85,2955.64
2023-06-09,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2211.99,2432.17,2326.88,3598.07
2023-06-10,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2216.92,2466.52,2324.15,3426.82
2023-06-12,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2343.46,2775.02,2541.21,1708.4
2023-06-13,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2325.55,2629.28,2470.56,3695.57
2023-06-14,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2264.39,2580.31,2418.49,2744.24
2023-06-15,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2105.87,2358.47,2226.99,2779.19
2023-06-16,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2213.99,2493.17,2363.32,3351.16
2023-06-17,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2371.65,2610.86,2499.12,2912.55
2023-06-19,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2205.59,2592.9,2414.25,2859.98
2023-06-20,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2384.63,2752.3,2542.93,3189.85
2023-06-21,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2022.56,2381.16,2179.21,3554.5
2023-06-22,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2323.15,2558.07,2440.99,3399.0
2023-06-23,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2619.51,2967.18,2809.08,2401.85
2023-06-24,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2381.46,2880.19,2611.42,1880.11
2023-06-26,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2000.38,2302.68,2131.01,4437.1
2023-06-27,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2427.98,2697.98,2563.43,3402.17
2023-06-28,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2339.88,2783.09,2543.56,4073.49
2023-06-29,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2331.14,2699.53,2529.5,4776.92
2023-06-30,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2184.23,2712.71,2407.36,3896.65
2023-07-01,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2031.38,2250.1,2124.94,2790.91
2023-07-02,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2248.3,2457.7,2351.81,2963.53
2023-07-03,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2228.14,2604.94,2406.83,3336.08
2023-07-04,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2219.0,2733.46,2452.11,4119.1
2023-07-05,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2210.54,2442.29,2318.04,3250.54
2023-07-06,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1964.3,2306.89,2137.36,2743.07
2023-07-07,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2127.0,2539.45,2330.23,3784.56
2023-07-08,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2497.13,3018.84,2736.82,2188.23
2023-07-10,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2272.95,2693.14,2502.1,2997.92
2023-07-11,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2269.93,2479.77,2381.7,2988.95
2023-07-12,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2193.02,2642.41,2390.81,4124.62
2023-07-13,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2494.12,3016.93,2730.65,4026.09
2023-07-14,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2309.24,2718.35,2510.02,4245.69
2023-07-15,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2475.48,2869.45,2664.75,3369.58
2023-07-17,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2278.29,2721.06,2475.62,3300.83
2023-07-18,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2401.74,2742.83,2553.4,2675.88
2023-07-19,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2365.25,2661.75,2524.36,3296.88
2023-07-20,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2047.47,2573.45,2271.19,2706.74
2023-07-21,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2672.03,2949.37,2807.75,3987.66
2023-07-22,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2327.53,2589.3,2450.75,3037.96
2023-07-24,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2264.81,2798.64,2515.81,2982.76
2023-07-25,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2308.85,2543.89,2416.75,3065.3
2023-07-26,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2392.02,2819.1,2595.84,3010.98
2023-07-27,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2280.43,2492.09,2383.6,3682.74
2023-07-28,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2197.86,2669.55,2424.6,3466.12
2023-07-29,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2260.16,2492.17,2386.72,2875.36
2023-07-31,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2227.41,2617.96,2422.77,3224.17
2023-08-01,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2301.71,2773.97,2550.8,3182.03
2023-08-02,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2091.03,2496.0,2264.29,1671.25
2023-08-03,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2103.18,2471.8,2269.52,3219.4
2023-08-04,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2299.38,2519.84,2404.94,4284.28
2023-08-05,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1885.72,2291.5,2088.88,3733.3
2023-08-07,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2057.22,2527.73,2262.48,3268.54
2023-08-08,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1960.8,2365.87,2141.27,3214.23
2023-08-09,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2168.36,2531.91,2340.86,3374.32
2023-08-10,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2148.95,2422.4,2288.49,3898.05
2023-08-11,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2044.3,2420.15,2244.03,3248.68
2023-08-12,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2183.08,2711.08,2418.15,3134.06
2023-08-14,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2127.0,2342.17,2221.66,4273.24
2023-08-15,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2179.04,2577.86,2353.77,3311.86
2023-08-16,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1946.95,2322.06,2137.94,3908.4
2023-08-17,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2257.95,2539.75,2380.3,4011.9
2023-08-18,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2194.34,2561.68,2356.66,3048.07
2023-08-19,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2122.53,2435.49,2258.18,4077.29
2023-08-21,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2047.04,2322.96,2176.23,4245.58
2023-08-22,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2120.82,2506.38,2283.44,2662.64
2023-08-23,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2142.56,2635.09,2371.84,3481.96
2023-08-24,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2118.84,2389.96,2255.03,3961.61
2023-08-25,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1852.99,2227.24,2025.4,2978.72
2023-08-26,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1984.91,2316.06,2133.01,2944.45
2023-08-27,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2214.26,2674.35,2456.93,2331.7
2023-08-28,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2181.57,2626.78,2415.49,3142.34
2023-08-29,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2053.75,2453.99,2266.85,2945.45
2023-08-30,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2120.59,2623.03,2348.8,2475.96
2023-08-31,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2177.51,2410.87,2284.4,3033.99
2023-09-01,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1862.52,2150.74,2020.34,5043.65
2023-09-02,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1947.54,2267.28,2090.42,2976.09
2023-09-04,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1784.97,2154.11,1939.86,3819.2
2023-09-05,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2075.81,2328.64,2205.3,4345.42
2023-09-06,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2073.88,2406.89,2227.33,2803.88
2023-09-07,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1928.23,2112.14,2023.66,3764.94
2023-09-08,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1989.68,2303.96,2124.79,4054.63
2023-09-09,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1760.38,2098.61,1927.55,4324.39
2023-09-11,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1765.46,1949.48,1854.06,3050.0
2023-09-12,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1960.24,2313.78,2135.32,3994.63
2023-09-13,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2046.03,2363.69,2197.94,2376.46
2023-09-14,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1853.08,2133.49,2004.45,3923.4
2023-09-15,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2131.27,2529.09,2321.5,4161.14
2023-09-16,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2023.74,2309.12,2151.73,4758.06
2023-09-18,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1891.8,2206.09,2063.35,5116.37
2023-09-19,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1839.68,2275.96,2033.94,3500.24
2023-09-20,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1711.05,1884.59,1787.99,3807.02
2023-09-21,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2256.83,2786.76,2507.33,3999.48
2023-09-22,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2090.49,2279.65,2190.19,4037.99
2023-09-23,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1918.92,2235.08,2055.21,5039.17
2023-09-25,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2180.11,2587.06,2368.14,4839.11
2023-09-26,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,1798.4,2005.06,1901.99,2994.82
2023-09-27,Onion,Lasalgaon,Nashik,Maharashtra,Red,FAQ,2129.75,2518.71,2330.19,3082.11
