order_id,commodity,seller_type,buyer_type,location,state,quantity,unit,listed_price_per_unit,negotiated_price_per_unit,final_price_per_unit,order_date,order_status,fulfillment_days,delivery_outcome,platform_fee_inr
ORD-SYNTH-1024,Rice,FPO,RETAILER,Hubballi,Karnataka,1825.88,KG,56.65,55.23,55.23,2025-01-13,COMPLETED,4,DELIVERED_ON_TIME,2016.87
ORD-SYNTH-1025,Wheat,FARMER,BULK_PROCESSOR,Nashik,Maharashtra,1893.06,KG,23.62,22.07,22.07,2025-01-13,CANCELLED,3,CANCELLED,835.6
ORD-SYNTH-1026,Tomato,FPO,BULK_PROCESSOR,Hubballi,Karnataka,697.79,KG,31.18,30.63,30.63,2025-01-14,COMPLETED,5,DELIVERED_ON_TIME,427.47
ORD-SYNTH-1027,Onion,FARMER,RETAILER,Nashik,Maharashtra,662.47,KG,34.87,34.63,34.63,2025-01-14,COMPLETED,2,DELIVERED_ON_TIME,458.83
ORD-SYNTH-1028,Potato,FARMER,RETAILER,Pune,Maharashtra,4126.18,KG,25.09,23.22,23.22,2025-01-15,COMPLETED,1,DELIVERED_ON_TIME,1916.2
ORD-SYNTH-1029,Rice,FARMER,RETAILER,Hubballi,Karnataka,1393.91,KG,52.27,50.57,50.57,2025-01-15,COMPLETED,3,DELIVERED_ON_TIME,1409.8
ORD-SYNTH-1030,Wheat,FARMER,BULK_PROCESSOR,Nashik,Maharashtra,2607.84,KG,27.39,27.0,27.0,2025-01-16,COMPLETED,2,DELIVERED_LATE,1408.23
ORD-SYNTH-1031,Tomato,FARMER,WHOLESALER,Hubballi,Karnataka,2735.44,KG,28.01,26.95,26.95,2025-01-16,CANCELLED,2,CANCELLED,1474.4
ORD-SYNTH-1032,Onion,FPO,BULK_PROCESSOR,Nashik,Maharashtra,1550.85,KG,31.81,30.69,30.69,2025-01-17,COMPLETED,2,DELIVERED_ON_TIME,951.91
ORD-SYNTH-1033,Potato,FARMER,BULK_PROCESSOR,Pune,Maharashtra,479.65,KG,23.1,21.93,21.93,2025-01-17,COMPLETED,3,DELIVERED_ON_TIME,210.37
ORD-SYNTH-1034,Rice,FPO,BULK_PROCESSOR,Hubballi,Karnataka,3436.72,KG,52.7,48.84,48.84,2025-01-18,COMPLETED,3,DELIVERED_ON_TIME,3356.99
ORD-SYNTH-1035,Wheat,FPO,WHOLESALER,Nashik,Maharashtra,1530.17,KG,24.1,22.71,22.71,2025-01-18,COMPLETED,1,DELIVERED_ON_TIME,695.0
ORD-SYNTH-1036,Tomato,FPO,WHOLESALER,Hubballi,Karnataka,3719.54,KG,31.32,29.08,29.08,2025-01-19,COMPLETED,2,DELIVERED_ON_TIME,2163.28
ORD-SYNTH-1037,Onion,FPO,RETAILER,Nashik,Maharashtra,4776.75,KG,31.62,31.46,31.46,2025-01-19,COMPLETED,2,DELIVERED_ON_TIME,3005.53
ORD-SYNTH-1038,Potato,FPO,RETAILER,Pune,Maharashtra,1750.54,KG,22.31,22.01,22.01,2025-01-20,COMPLETED,2,DELIVERED_ON_TIME,770.59
ORD-SYNTH-1039,Rice,FPO,BULK_PROCESSOR,Hubballi,Karnataka,953.47,KG,55.2,52.33,52.33,2025-01-20,COMPLETED,3,DELIVERED_ON_TIME,997.9
ORD-SYNTH-1040,Wheat,FARMER,WHOLESALER,Nashik,Maharashtra,240.12,KG,25.58,24.75,24.75,2025-01-21,COMPLETED,2,DELIVERED_ON_TIME,118.86
ORD-SYNTH-1041,Tomato,FARMER,BULK_PROCESSOR,Hubballi,Karnataka,1048.52,KG,26.83,25.41,25.41,2025-01-21,COMPLETED,2,DELIVERED_ON_TIME,532.86
ORD-SYNTH-1042,Onion,FPO,WHOLESALER,Nashik,Maharashtra,2496.17,KG,31.9,30.82,30.82,2025-01-22,COMPLETED,1,DELIVERED_ON_TIME,1538.64
ORD-SYNTH-1043,Potato,FPO,RETAILER,Pune,Maharashtra,2161.44,KG,23.44,22.11,22.11,2025-01-22,COMPLETED,1,DELIVERED_ON_TIME,955.79
ORD-SYNTH-1044,Rice,FARMER,WHOLESALER,Hubballi,Karnataka,590.62,KG,56.84,55.83,55.83,2025-01-23,COMPLETED,5,DELIVERED_ON_TIME,659.49
ORD-SYNTH-1045,Wheat,FPO,RETAILER,Nashik,Maharashtra,2959.79,KG,26.68,24.98,24.98,2025-01-23,COMPLETED,4,DELIVERED_LATE,1478.71
ORD-SYNTH-1046,Tomato,FARMER,RETAILER,Hubballi,Karnataka,2153.04,KG,31.24,29.45,29.45,2025-01-24,CANCELLED,1,CANCELLED,1268.14
ORD-SYNTH-1047,Onion,FPO,BULK_PROCESSOR,Nashik,Maharashtra,2802.12,KG,32.42,32.36,32.36,2025-01-24,COMPLETED,1,DELIVERED_ON_TIME,1813.53
ORD-SYNTH-1048,Potato,FARMER,WHOLESALER,Pune,Maharashtra,3975.33,KG,21.0,19.54,19.54,2025-01-25,COMPLETED,2,DELIVERED_ON_TIME,1553.56
ORD-SYNTH-1049,Rice,FPO,WHOLESALER,Hubballi,Karnataka,2027.32,KG,55.39,51.5,51.5,2025-01-25,COMPLETED,4,DELIVERED_LATE,2088.14
ORD-SYNTH-1050,Wheat,FPO,BULK_PROCESSOR,Nashik,Maharashtra,295.11,KG,24.51,23.18,23.18,2025-01-26,COMPLETED,4,DELIVERED_LATE,136.81
ORD-SYNTH-1051,Tomato,FARMER,WHOLESALER,Hubballi,Karnataka,1531.07,KG,28.33,26.89,26.89,2025-01-26,COMPLETED,2,DELIVERED_ON_TIME,823.41
ORD-SYNTH-1052,Onion,FPO,BULK_PROCESSOR,Nashik,Maharashtra,1139.62,KG,34.81,32.25,32.25,2025-01-27,COMPLETED,2,DELIVERED_ON_TIME,735.05
ORD-SYNTH-1053,Potato,FARMER,BULK_PROCESSOR,Pune,Maharashtra,304.83,KG,22.16,22.13,22.13,2025-01-27,COMPLETED,3,DELIVERED_ON_TIME,134.92
ORD-SYNTH-1054,Rice,FARMER,RETAILER,Hubballi,Karnataka,610.19,KG,59.17,58.29,58.29,2025-01-28,COMPLETED,2,DELIVERED_ON_TIME,711.36
ORD-SYNTH-1055,Wheat,FARMER,BULK_PROCESSOR,Nashik,Maharashtra,98.23,KG,23.35,23.13,23.13,2025-01-28,COMPLETED,2,DELIVERED_ON_TIME,45.44
ORD-SYNTH-1056,Tomato,FARMER,RETAILER,Hubballi,Karnataka,3542.15,KG,26.64,24.54,24.54,2025-01-29,COMPLETED,2,DELIVERED_ON_TIME,1738.49
ORD-SYNTH-1057,Onion,FPO,WHOLESALER,Nashik,Maharashtra,2931.44,KG,32.43,31.06,31.06,2025-01-29,COMPLETED,3,DELIVERED_ON_TIME,1821.01
ORD-SYNTH-1058,Potato,FARMER,WHOLESALER,Pune,Maharashtra,3334.75,KG,24.28,22.5,22.5,2025-01-30,COMPLETED,1,DELIVERED_ON_TIME,1500.64
ORD-SYNTH-1059,Rice,FARMER,RETAILER,Hubballi,Karnataka,1078.75,KG,62.4,57.62,57.62,2025-01-30,COMPLETED,2,DELIVERED_ON_TIME,1243.15
ORD-SYNTH-1060,Wheat,FPO,RETAILER,Nashik,Maharashtra,542.88,KG,25.96,25.12,25.12,2025-01-31,COMPLETED,4,DELIVERED_ON_TIME,272.74
ORD-SYNTH-1061,Tomato,FARMER,RETAILER,Hubballi,Karnataka,3010.96,KG,30.79,29.69,29.69,2025-01-31,COMPLETED,3,DELIVERED_ON_TIME,1787.91
ORD-SYNTH-1062,Onion,FARMER,WHOLESALER,Nashik,Maharashtra,2959.0,KG,30.79,30.3,30.3,2025-02-01,COMPLETED,2,DELIVERED_ON_TIME,1793.15
ORD-SYNTH-1063,Potato,FPO,RETAILER,Pune,Maharashtra,4854.11,KG,21.49,21.07,21.07,2025-02-01,COMPLETED,3,DELIVERED_ON_TIME,2045.52
ORD-SYNTH-1064,Rice,FPO,RETAILER,Hubballi,Karnataka,1890.13,KG,57.78,54.9,54.9,2025-02-02,COMPLETED,3,DELIVERED_ON_TIME,2075.36
ORD-SYNTH-1065,Wheat,FPO,RETAILER,Nashik,Maharashtra,1752.71,KG,22.86,21.47,21.47,2025-02-02,COMPLETED,2,DELIVERED_ON_TIME,752.61
ORD-SYNTH-1066,Tomato,FARMER,BULK_PROCESSOR,Hubballi,Karnataka,3636.38,KG,27.66,26.54,26.54,2025-02-03,COMPLETED,2,DELIVERED_ON_TIME,1930.19
ORD-SYNTH-1067,Onion,FPO,RETAILER,Nashik,Maharashtra,2769.77,KG,33.43,32.25,32.25,2025-02-03,COMPLETED,2,DELIVERED_ON_TIME,1786.5
ORD-SYNTH-1068,Potato,FARMER,WHOLESALER,Pune,Maharashtra,81.57,KG,20.91,19.81,19.81,2025-02-04,COMPLETED,1,DELIVERED_ON_TIME,32.32
ORD-SYNTH-1069,Rice,FARMER,RETAILER,Hubballi,Karnataka,2960.36,KG,55.7,52.06,52.06,2025-02-04,COMPLETED,4,DELIVERED_ON_TIME,3082.33
ORD-SYNTH-1070,Wheat,FPO,WHOLESALER,Nashik,Maharashtra,3147.53,KG,25.95,23.97,23.97,2025-02-05,COMPLETED,2,DELIVERED_ON_TIME,1508.93
ORD-SYNTH-1071,Tomato,FPO,RETAILER,Hubballi,Karnataka,4132.32,KG,29.65,28.46,28.46,2025-02-05,COMPLETED,2,DELIVERED_ON_TIME,2352.12
ORD-SYNTH-1072,Onion,FPO,RETAILER,Nashik,Maharashtra,1770.4,KG,34.53,33.81,33.81,2025-02-06,COMPLETED,3,DELIVERED_ON_TIME,1197.14
ORD-SYNTH-1073,Potato,FPO,WHOLESALER,Pune,Maharashtra,1355.23,KG,24.81,24.22,24.22,2025-02-06,COMPLETED,2,DELIVERED_ON_TIME,656.47
ORD-SYNTH-1074,Rice,FPO,BULK_PROCESSOR,Hubballi,Karnataka,3873.33,KG,53.67,50.61,50.61,2025-02-07,COMPLETED,2,DELIVERED_ON_TIME,3920.58
ORD-SYNTH-1075,Wheat,FARMER,RETAILER,Nashik,Maharashtra,635.01,KG,26.44,24.66,24.66,2025-02-07,COMPLETED,3,DELIVERED_LATE,313.19
ORD-SYNTH-1076,Tomato,FARMER,RETAILER,Hubballi,Karnataka,2174.9,KG,28.07,26.99,26.99,2025-02-08,COMPLETED,2,DELIVERED_ON_TIME,1174.01
ORD-SYNTH-1077,Onion,FARMER,BULK_PROCESSOR,Nashik,Maharashtra,4845.64,KG,33.03,30.95,30.95,2025-02-08,COMPLETED,3,DELIVERED_ON_TIME,2999.45
ORD-SYNTH-1078,Potato,FARMER,BULK_PROCESSOR,Pune,Maharashtra,4450.02,KG,22.9,22.79,22.79,2025-02-09,COMPLETED,1,DELIVERED_ON_TIME,2028.32
ORD-SYNTH-1079,Rice,FPO,BULK_PROCESSOR,Hubballi,Karnataka,877.24,KG,62.3,61.23,61.23,2025-02-09,COMPLETED,2,DELIVERED_ON_TIME,1074.27
ORD-SYNTH-1080,Wheat,FARMER,BULK_PROCESSOR,Nashik,Maharashtra,4396.7,KG,23.57,23.02,23.02,2025-02-10,COMPLETED,3,DELIVERED_ON_TIME,2024.24
ORD-SYNTH-1081,Tomato,FPO,RETAILER,Hubballi,Karnataka,2815.23,KG,32.14,30.52,30.52,2025-02-10,COMPLETED,3,DELIVERED_ON_TIME,1718.42
ORD-SYNTH-1082,Onion,FPO,BULK_PROCESSOR,Nashik,Maharashtra,2525.73,KG,34.65,33.7,33.7,2025-02-11,COMPLETED,4,DELIVERED_ON_TIME,1702.34
ORD-SYNTH-1083,Potato,FARMER,WHOLESALER,Pune,Maharashtra,203.91,KG,22.33,21.2,21.2,2025-02-11,COMPLETED,1,DELIVERED_ON_TIME,86.46
ORD-SYNTH-1084,Rice,FARMER,BULK_PROCESSOR,Hubballi,Karnataka,847.7,KG,52.61,48.55,48.55,2025-02-12,COMPLETED,2,DELIVERED_ON_TIME,823.12
ORD-SYNTH-1085,Wheat,FPO,BULK_PROCESSOR,Nashik,Maharashtra,814.35,KG,27.38,26.21,26.21,2025-02-12,COMPLETED,3,DELIVERED_ON_TIME,426.88
ORD-SYNTH-1086,Tomato,FARMER,RETAILER,Hubballi,Karnataka,165.41,KG,30.69,29.43,29.43,2025-02-13,COMPLETED,2,DELIVERED_ON_TIME,97.36
ORD-SYNTH-1087,Onion,FARMER,BULK_PROCESSOR,Nashik,Maharashtra,744.29,KG,34.29,31.57,31.57,2025-02-13,COMPLETED,2,DELIVERED_ON_TIME,469.94
ORD-SYNTH-1088,Potato,FARMER,RETAILER,Pune,Maharashtra,1960.49,KG,21.42,19.79,19.79,2025-02-14,COMPLETED,5,DELIVERED_ON_TIME,775.96
ORD-SYNTH-1089,Rice,FARMER,BULK_PROCESSOR,Hubballi,Karnataka,1216.14,KG,53.68,49.57,49.57,2025-02-14,COMPLETED,3,DELIVERED_ON_TIME,1205.68
ORD-SYNTH-1090,Wheat,FPO,WHOLESALER,Nashik,Maharashtra,1307.01,KG,24.51,24.23,24.23,2025-02-15,COMPLETED,2,DELIVERED_ON_TIME,633.38
ORD-SYNTH-1091,Tomato,FARMER,RETAILER,Hubballi,Karnataka,553.31,KG,29.62,29.23,29.23,2025-02-15,COMPLETED,2,DELIVERED_ON_TIME,323.47
ORD-SYNTH-1092,Onion,FPO,WHOLESALER,Nashik,Maharashtra,3739.52,KG,30.78,29.11,29.11,2025-02-16,COMPLETED,5,DELIVERED_ON_TIME,2177.15
ORD-SYNTH-1093,Potato,FPO,BULK_PROCESSOR,Pune,Maharashtra,91.38,KG,22.78,21.76,21.76,2025-02-16,COMPLETED,3,DELIVERED_ON_TIME,39.77
ORD-SYNTH-1094,Rice,FARMER,RETAILER,Hubballi,Karnataka,966.19,KG,62.08,60.83,60.83,2025-02-17,COMPLETED,2,DELIVERED_ON_TIME,1175.47
ORD-SYNTH-1095,Wheat,FARMER,RETAILER,Nashik,Maharashtra,2699.87,KG,25.1,23.73,23.73,2025-02-17,COMPLETED,1,DELIVERED_LATE,1281.36
ORD-SYNTH-1096,Tomato,FPO,RETAILER,Hubballi,Karnataka,1574.73,KG,31.74,31.36,31.36,2025-02-18,COMPLETED,2,DELIVERED_ON_TIME,987.67
ORD-SYNTH-1097,Onion,FARMER,BULK_PROCESSOR,Nashik,Maharashtra,2505.93,KG,35.94,33.92,33.92,2025-02-18,COMPLETED,1,DELIVERED_ON_TIME,1700.02
ORD-SYNTH-1098,Potato,FARMER,BULK_PROCESSOR,Pune,Maharashtra,4132.69,KG,23.25,21.55,21.55,2025-02-19,COMPLETED,1,DELIVERED_ON_TIME,1781.19
ORD-SYNTH-1099,Rice,FPO,BULK_PROCESSOR,Hubballi,Karnataka,471.59,KG,54.48,50.33,50.33,2025-02-19,COMPLETED,1,DELIVERED_LATE,474.7
ORD-SYNTH-1100,Wheat,FARMER,WHOLESALER,Nashik,Maharashtra,4996.63,KG,26.14,24.74,24.74,2025-02-20,COMPLETED,1,DELIVERED_ON_TIME,2472.33
ORD-SYNTH-1101,Tomato,FPO,BULK_PROCESSOR,Hubballi,Karnataka,2008.78,KG,28.79,28.25,28.25,2025-02-20,COMPLETED,2,DELIVERED_ON_TIME,1134.96
ORD-SYNTH-1102,Onion,FPO,RETAILER,Nashik,Maharashtra,2305.18,KG,36.27,35.33,35.33,2025-02-21,COMPLETED,1,DELIVERED_ON_TIME,1628.84
ORD-SYNTH-1103,Potato,FARMER,BULK_PROCESSOR,Pune,Maharashtra,3666.28,KG,25.0,24.75,24.75,2025-02-21,COMPLETED,4,DELIVERED_ON_TIME,1814.81
ORD-SYNTH-1104,Rice,FPO,WHOLESALER,Hubballi,Karnataka,4859.35,KG,60.38,55.87,55.87,2025-02-22,COMPLETED,4,DELIVERED_ON_TIME,5429.84
ORD-SYNTH-1105,Wheat,FPO,RETAILER,Nashik,Maharashtra,4553.02,KG,26.41,24.87,24.87,2025-02-22,COMPLETED,2,DELIVERED_ON_TIME,2264.67
ORD-SYNTH-1106,Tomato,FARMER,WHOLESALER,Hubballi,Karnataka,72.43,KG,32.02,30.73,30.73,2025-02-23,COMPLETED,3,DELIVERED_ON_TIME,44.52
ORD-SYNTH-1107,Onion,FARMER,WHOLESALER,Nashik,Maharashtra,2074.61,KG,32.61,31.33,31.33,2025-02-23,COMPLETED,3,DELIVERED_ON_TIME,1299.95
ORD-SYNTH-1108,Potato,FPO,WHOLESALER,Pune,Maharashtra,3279.34,KG,20.99,20.91,20.91,2025-02-24,COMPLETED,2,DELIVERED_ON_TIME,1371.42
ORD-SYNTH-1109,Rice,FPO,BULK_PROCESSOR,Hubballi,Karnataka,3967.2,KG,58.94,54.78,54.78,2025-02-24,COMPLETED,3,DELIVERED_ON_TIME,4346.46
ORD-SYNTH-1110,Wheat,FARMER,RETAILER,Nashik,Maharashtra,379.78,KG,25.75,24.44,24.44,2025-02-25,COMPLETED,2,DELIVERED_ON_TIME,185.64
ORD-SYNTH-1111,Tomato,FPO,RETAILER,Hubballi,Karnataka,3601.37,KG,31.31,29.52,29.52,2025-02-25,COMPLETED,4,DELIVERED_ON_TIME,2126.25
ORD-SYNTH-1112,Onion,FPO,WHOLESALER,Nashik,Maharashtra,4631.9,KG,31.02,28.8,28.8,2025-02-26,COMPLETED,2,DELIVERED_ON_TIME,2667.97
ORD-SYNTH-1113,Potato,FPO,RETAILER,Pune,Maharashtra,4852.34,KG,24.18,23.72,23.72,2025-02-26,COMPLETED,1,DELIVERED_ON_TIME,2301.95
ORD-SYNTH-1114,Rice,FARMER,RETAILER,Hubballi,Karnataka,3372.13,KG,59.91,59.11,59.11,2025-02-27,COMPLETED,2,DELIVERED_ON_TIME,3986.53
ORD-SYNTH-1115,Wheat,FPO,WHOLESALER,Nashik,Maharashtra,3814.82,KG,23.27,22.58,22.58,2025-02-27,COMPLETED,1,DELIVERED_ON_TIME,1722.77
ORD-SYNTH-1116,Tomato,FARMER,RETAILER,Hubballi,Karnataka,304.53,KG,31.63,29.45,29.45,2025-02-28,COMPLETED,2,DELIVERED_ON_TIME,179.37
ORD-SYNTH-1117,Onion,FARMER,WHOLESALER,Nashik,Maharashtra,4965.18,KG,31.58,29.73,29.73,2025-02-28,COMPLETED,3,DELIVERED_ON_TIME,2952.3
ORD-SYNTH-1118,Potato,FARMER,BULK_PROCESSOR,Pune,Maharashtra,1208.54,KG,22.85,21.35,21.35,2025-03-01,COMPLETED,2,DELIVERED_ON_TIME,516.05
ORD-SYNTH-1119,Rice,FARMER,RETAILER,Hubballi,Karnataka,3573.99,KG,56.65,55.97,55.97,2025-03-01,COMPLETED,2,DELIVERED_ON_TIME,4000.72
ORD-SYNTH-1120,Wheat,FPO,WHOLESALER,Nashik,Maharashtra,4101.68,KG,23.25,22.65,22.65,2025-03-02,COMPLETED,1,DELIVERED_LATE,1858.06
ORD-SYNTH-1121,Tomato,FPO,BULK_PROCESSOR,Hubballi,Karnataka,1818.06,KG,30.19,29.03,29.03,2025-03-02,COMPLETED,2,DELIVERED_ON_TIME,1055.57
ORD-SYNTH-1122,Onion,FARMER,RETAILER,Nashik,Maharashtra,2571.04,KG,31.98,30.66,30.66,2025-03-03,COMPLETED,1,DELIVERED_ON_TIME,1576.56
ORD-SYNTH-1123,Potato,FARMER,BULK_PROCESSOR,Pune,Maharashtra,4447.47,KG,24.58,22.97,22.97,2025-03-03,COMPLETED,3,DELIVERED_ON_TIME,2043.17
ORD-SYNTH-1124,Rice,FPO,RETAILER,Hubballi,Karnataka,3569.26,KG,52.8,52.44,52.44,2025-03-04,COMPLETED,3,DELIVERED_ON_TIME,3743.44
ORD-SYNTH-1125,Wheat,FPO,RETAILER,Nashik,Maharashtra,3295.92,KG,23.95,23.43,23.43,2025-03-04,COMPLETED,1,DELIVERED_ON_TIME,1544.47
ORD-SYNTH-1126,Tomato,FARMER,BULK_PROCESSOR,Hubballi,Karnataka,2674.56,KG,31.7,30.35,30.35,2025-03-05,COMPLETED,1,DELIVERED_ON_TIME,1623.46
ORD-SYNTH-1127,Onion,FPO,RETAILER,Nashik,Maharashtra,481.22,KG,35.76,34.08,34.08,2025-03-05,COMPLETED,1,DELIVERED_ON_TIME,328.0
ORD-SYNTH-1128,Potato,FARMER,BULK_PROCESSOR,Pune,Maharashtra,3604.27,KG,23.77,23.11,23.11,2025-03-06,COMPLETED,3,DELIVERED_ON_TIME,1665.89
ORD-SYNTH-1129,Rice,FARMER,BULK_PROCESSOR,Hubballi,Karnataka,2112.15,KG,59.75,59.23,59.23,2025-03-06,COMPLETED,2,DELIVERED_ON_TIME,2502.05
ORD-SYNTH-1130,Wheat,FPO,BULK_PROCESSOR,Nashik,Maharashtra,4773.56,KG,24.97,24.5,24.5,2025-03-07,COMPLETED,2,DELIVERED_ON_TIME,2339.04
ORD-SYNTH-1131,Tomato,FARMER,RETAILER,Hubballi,Karnataka,2708.59,KG,26.79,26.12,26.12,2025-03-07,CANCELLED,2,CANCELLED,1414.97
ORD-SYNTH-1132,Onion,FPO,BULK_PROCESSOR,Nashik,Maharashtra,302.16,KG,35.93,35.7,35.7,2025-03-08,COMPLETED,1,DELIVERED_ON_TIME,215.74
ORD-SYNTH-1133,Potato,FARMER,WHOLESALER,Pune,Maharashtra,3135.3,KG,21.57,20.9,20.9,2025-03-08,COMPLETED,1,DELIVERED_ON_TIME,1310.56
ORD-SYNTH-1134,Rice,FPO,RETAILER,Hubballi,Karnataka,3615.75,KG,59.44,58.89,58.89,2025-03-09,COMPLETED,3,DELIVERED_ON_TIME,4258.63
ORD-SYNTH-1135,Wheat,FPO,RETAILER,Nashik,Maharashtra,4735.38,KG,26.01,24.14,24.14,2025-03-09,COMPLETED,2,DELIVERED_ON_TIME,2286.24
ORD-SYNTH-1136,Tomato,FPO,BULK_PROCESSOR,Hubballi,Karnataka,1664.55,KG,30.07,29.02,29.02,2025-03-10,COMPLETED,2,DELIVERED_ON_TIME,966.1
ORD-SYNTH-1137,Onion,FARMER,RETAILER,Nashik,Maharashtra,533.12,KG,33.85,32.65,32.65,2025-03-10,COMPLETED,5,DELIVERED_ON_TIME,348.13
ORD-SYNTH-1138,Potato,FARMER,BULK_PROCESSOR,Pune,Maharashtra,3802.79,KG,22.1,20.45,20.45,2025-03-11,COMPLETED,3,DELIVERED_ON_TIME,1555.34
ORD-SYNTH-1139,Rice,FARMER,RETAILER,Hubballi,Karnataka,2620.45,KG,60.5,59.79,59.79,2025-03-11,COMPLETED,3,DELIVERED_ON_TIME,3133.53
ORD-SYNTH-1140,Wheat,FPO,WHOLESALER,Nashik,Maharashtra,647.23,KG,27.23,26.22,26.22,2025-03-12,COMPLETED,5,DELIVERED_ON_TIME,339.41
ORD-SYNTH-1141,Tomato,FPO,BULK_PROCESSOR,Hubballi,Karnataka,4650.47,KG,27.41,25.44,25.44,2025-03-12,COMPLETED,2,DELIVERED_ON_TIME,2366.16
ORD-SYNTH-1142,Onion,FPO,WHOLESALER,Nashik,Maharashtra,1820.92,KG,34.22,32.98,32.98,2025-03-13,COMPLETED,1,DELIVERED_LATE,1201.08
