lane_id,origin_location_id,mandi_id,origin_state,origin_district,market_option,market_name,road_distance_km,freight_inr_per_quintal,handling_inr_per_quintal,loading_inr_per_quintal,expected_transit_days,mode,use_case,effective_date,data_status
FML-3F99F9D520,LOC-8B822D4362,MND-43E39A4274,Andhra Pradesh,Eluru,A,Eluru — Primary Local Mandi,60,74.0,11,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-026E2E9251,LOC-8B822D4362,MND-287D663560,Andhra Pradesh,Eluru,B,Eluru — Secondary Market Yard,70,92.0,8,6,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-E69ACDE6C8,LOC-8B822D4362,MND-424B8060A5,Andhra Pradesh,Eluru,C,Eluru — Regional Wholesale Market,72,91.2,7,5,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-0A6F5C305A,LOC-70601242A0,MND-1195DF6EC1,Andhra Pradesh,Guntur,A,Guntur — Primary Local Mandi,17,31.7,11,5,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-7FA2008D0D,LOC-70601242A0,MND-941D3566DD,Andhra Pradesh,Guntur,B,Guntur — Secondary Market Yard,31,54.1,14,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-D4ED23B4BD,LOC-70601242A0,MND-DF7C16E8A1,Andhra Pradesh,Guntur,C,Guntur — Regional Wholesale Market,45,71.5,13,4,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-BB53E1DAEE,LOC-F399370809,MND-6FDE2F6266,Andhra Pradesh,Kakinada,A,Kakinada — Primary Local Mandi,29,48.9,12,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-38E2D120B2,LOC-F399370809,MND-6B7ADC43F9,Andhra Pradesh,Kakinada,B,Kakinada — Secondary Market Yard,41,52.1,10,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-89263D1846,LOC-F399370809,MND-D67E391B4B,Andhra Pradesh,Kakinada,C,Kakinada — Regional Wholesale Market,46,71.6,8,5,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-2CE13E09CF,LOC-8B60F404CB,MND-5056D6EA93,Andhra Pradesh,Krishna,A,Krishna — Primary Local Mandi,25,42.5,7,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-D497484879,LOC-8B60F404CB,MND-2A8EC05047,Andhra Pradesh,Krishna,B,Krishna — Secondary Market Yard,12,27.2,6,5,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-D5C19FB8ED,LOC-8B60F404CB,MND-022579D81E,Andhra Pradesh,Krishna,C,Krishna — Regional Wholesale Market,59,77.9,10,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-C3E26724D1,LOC-97856C020E,MND-346FC7D8F2,Andhra Pradesh,Kurnool,A,Kurnool — Primary Local Mandi,47,64.7,9,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-4288A567DE,LOC-97856C020E,MND-8E76AA365D,Andhra Pradesh,Kurnool,B,Kurnool — Secondary Market Yard,16,32.6,10,7,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-0261E04E71,LOC-97856C020E,MND-30736A2A4B,Andhra Pradesh,Kurnool,C,Kurnool — Regional Wholesale Market,77,96.7,11,4,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-05EE9FDC02,LOC-B91C854C06,MND-C1B268FD3F,Andhra Pradesh,Markapuram,A,Markapuram — Primary Local Mandi,73,95.3,11,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-DF713F06B0,LOC-B91C854C06,MND-A368258C01,Andhra Pradesh,Markapuram,B,Markapuram — Secondary Market Yard,70,94.0,13,6,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-77E7F6AFB7,LOC-B91C854C06,MND-529157C521,Andhra Pradesh,Markapuram,C,Markapuram — Regional Wholesale Market,60,84.0,6,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-6B7879794F,LOC-77871AC36C,MND-3461805F91,Andhra Pradesh,Nandyal,A,Nandyal — Primary Local Mandi,41,60.1,7,11,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-BB11515066,LOC-77871AC36C,MND-845CA36B20,Andhra Pradesh,Nandyal,B,Nandyal — Secondary Market Yard,35,50.5,8,6,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-9E55AAF3D2,LOC-77871AC36C,MND-B63A6A3BF9,Andhra Pradesh,Nandyal,C,Nandyal — Regional Wholesale Market,77,94.7,5,4,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-47F2B340D1,LOC-5E64F27011,MND-C61CC5A65B,Andhra Pradesh,Ntr,A,Ntr — Primary Local Mandi,17,24.7,10,5,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-66AA8A4340,LOC-5E64F27011,MND-F7F2E19881,Andhra Pradesh,Ntr,B,Ntr — Secondary Market Yard,79,106.9,12,8,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-F68A513BCF,LOC-5E64F27011,MND-9B3BC8F2E4,Andhra Pradesh,Ntr,C,Ntr — Regional Wholesale Market,27,41.7,14,7,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-D4D6E990A8,LOC-8DB647E302,MND-0A21501403,Andhra Pradesh,Palnadu,A,Palnadu — Primary Local Mandi,74,100.4,9,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-746EE292DD,LOC-8DB647E302,MND-60DDE3616E,Andhra Pradesh,Palnadu,B,Palnadu — Secondary Market Yard,5,19.5,8,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-5A385621FE,LOC-8DB647E302,MND-23E40F8A7C,Andhra Pradesh,Palnadu,C,Palnadu — Regional Wholesale Market,58,82.8,10,8,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-1A35B04F24,LOC-13F8AAD2C1,MND-43741B2CA6,Andhra Pradesh,Parvathipuram Manyam,A,Parvathipuram Manyam — Primary Local Mandi,37,53.7,7,4,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-D0442E6B21,LOC-13F8AAD2C1,MND-FD2D39C464,Andhra Pradesh,Parvathipuram Manyam,B,Parvathipuram Manyam — Secondary Market Yard,48,61.8,14,5,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-A006F49A78,LOC-13F8AAD2C1,MND-91F44C32AB,Andhra Pradesh,Parvathipuram Manyam,C,Parvathipuram Manyam — Regional Wholesale Market,68,88.8,8,5,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-1B136DD136,LOC-9615D776A1,MND-4DC912DA63,Andhra Pradesh,Prakasam,A,Prakasam — Primary Local Mandi,20,33.0,10,4,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-448A962DA0,LOC-9615D776A1,MND-D44254A342,Andhra Pradesh,Prakasam,B,Prakasam — Secondary Market Yard,62,77.2,8,9,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-8761930897,LOC-9615D776A1,MND-862174C37B,Andhra Pradesh,Prakasam,C,Prakasam — Regional Wholesale Market,31,43.1,13,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-6623B29770,LOC-A572998DDC,MND-E6F277B345,Andhra Pradesh,Sri Potti Sriramulu Nellore,A,Sri Potti Sriramulu Nellore — Primary Local Mandi,58,72.8,6,5,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-ACBE3B396C,LOC-A572998DDC,MND-01844CF704,Andhra Pradesh,Sri Potti Sriramulu Nellore,B,Sri Potti Sriramulu Nellore — Secondary Market Yard,8,18,11,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-E211D16693,LOC-A572998DDC,MND-DEDCBEAA02,Andhra Pradesh,Sri Potti Sriramulu Nellore,C,Sri Potti Sriramulu Nellore — Regional Wholesale Market,18,35.8,14,11,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-084E2D8476,LOC-C137ADD22E,MND-4FBD908E50,Andhra Pradesh,Sri Sathya Sai,A,Sri Sathya Sai — Primary Local Mandi,21,30.1,13,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-6614F430FD,LOC-C137ADD22E,MND-6841DAD172,Andhra Pradesh,Sri Sathya Sai,B,Sri Sathya Sai — Secondary Market Yard,13,28.3,5,4,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-3FC54BA352,LOC-C137ADD22E,MND-A63BF3B1D0,Andhra Pradesh,Sri Sathya Sai,C,Sri Sathya Sai — Regional Wholesale Market,46,59.6,9,4,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-F0A179B8CC,LOC-DB0FA299A3,MND-F6F4FFF3C0,Andhra Pradesh,Srikakulam,A,Srikakulam — Primary Local Mandi,74,103.4,13,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-EE8D706866,LOC-DB0FA299A3,MND-57F5BA3916,Andhra Pradesh,Srikakulam,B,Srikakulam — Secondary Market Yard,15,38.5,5,6,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-1A580FEDE4,LOC-DB0FA299A3,MND-700B1E0971,Andhra Pradesh,Srikakulam,C,Srikakulam — Regional Wholesale Market,57,75.7,11,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-F75A14CA0C,LOC-9DBD93A78A,MND-E70923CEE0,Andhra Pradesh,Tirupati,A,Tirupati — Primary Local Mandi,22,38.2,13,4,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-01F504528F,LOC-9DBD93A78A,MND-534C1BCC01,Andhra Pradesh,Tirupati,B,Tirupati — Secondary Market Yard,70,91.0,5,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-746E107164,LOC-9DBD93A78A,MND-35C59F1312,Andhra Pradesh,Tirupati,C,Tirupati — Regional Wholesale Market,27,46.7,8,10,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-A976305871,LOC-78DC13EB3B,MND-0BCEE9181F,Andhra Pradesh,Visakhapatnam,A,Visakhapatnam — Primary Local Mandi,50,63.0,6,4,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-CF95717719,LOC-78DC13EB3B,MND-A59CD42411,Andhra Pradesh,Visakhapatnam,B,Visakhapatnam — Secondary Market Yard,61,76.1,8,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-F378730B38,LOC-78DC13EB3B,MND-1800801236,Andhra Pradesh,Visakhapatnam,C,Visakhapatnam — Regional Wholesale Market,21,41.1,13,6,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-AB0C3E90DB,LOC-5CA6AF75F0,MND-5D781C02A6,Andhra Pradesh,Vizianagaram,A,Vizianagaram — Primary Local Mandi,69,97.9,8,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-8F8249947F,LOC-5CA6AF75F0,MND-2F8F12536C,Andhra Pradesh,Vizianagaram,B,Vizianagaram — Secondary Market Yard,39,61.9,9,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-F7A6FF6868,LOC-5CA6AF75F0,MND-AB7CB49480,Andhra Pradesh,Vizianagaram,C,Vizianagaram — Regional Wholesale Market,66,91.6,9,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-D06D9D8226,LOC-437766248E,MND-D9F41D08C6,Andhra Pradesh,West Godavari,A,West Godavari — Primary Local Mandi,75,103.5,14,10,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-41A25A46CE,LOC-437766248E,MND-CF8C5B14E8,Andhra Pradesh,West Godavari,B,West Godavari — Secondary Market Yard,47,60.7,8,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-99C51D42BC,LOC-437766248E,MND-07245F36A3,Andhra Pradesh,West Godavari,C,West Godavari — Regional Wholesale Market,40,64.0,9,7,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-49AC8F4BF5,LOC-E469226677,MND-440853AE74,Andhra Pradesh,Y.S.R.,A,Y.S.R. — Primary Local Mandi,30,45.0,14,4,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-4B65189FEA,LOC-E469226677,MND-AD5D0A6FAD,Andhra Pradesh,Y.S.R.,B,Y.S.R. — Secondary Market Yard,74,99.4,9,9,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-326AC2B2C8,LOC-E469226677,MND-B5757D4F2F,Andhra Pradesh,Y.S.R.,C,Y.S.R. — Regional Wholesale Market,72,94.2,7,5,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-DFE1BA1F02,LOC-23FA91BB84,MND-117EEA11FD,Arunachal Pradesh,Anjaw,A,Anjaw — Primary Local Mandi,30,53.0,12,10,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-008DF3FAEE,LOC-23FA91BB84,MND-41D02B2FA8,Arunachal Pradesh,Anjaw,B,Anjaw — Secondary Market Yard,55,72.5,11,4,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-7E18145412,LOC-23FA91BB84,MND-91032AD5BE,Arunachal Pradesh,Anjaw,C,Anjaw — Regional Wholesale Market,13,22.3,14,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-47866C9904,LOC-490D6DBA81,MND-22D9C7E044,Arunachal Pradesh,Bichom,A,Bichom — Primary Local Mandi,55,69.5,10,7,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-5C11093F26,LOC-490D6DBA81,MND-0CBB475A52,Arunachal Pradesh,Bichom,B,Bichom — Secondary Market Yard,74,89.4,14,4,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-195B6C0697,LOC-490D6DBA81,MND-CDAEF4C25A,Arunachal Pradesh,Bichom,C,Bichom — Regional Wholesale Market,66,88.6,7,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-D6A0F28A4C,LOC-D2DA922D02,MND-62FAC6C424,Arunachal Pradesh,Changlang,A,Changlang — Primary Local Mandi,78,104.8,12,7,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-AA41712D40,LOC-D2DA922D02,MND-54010C6DDD,Arunachal Pradesh,Changlang,B,Changlang — Secondary Market Yard,70,96.0,11,6,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-A21D4F3635,LOC-D2DA922D02,MND-989C26AD2C,Arunachal Pradesh,Changlang,C,Changlang — Regional Wholesale Market,29,40.9,9,4,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-B65846AD19,LOC-22A2B03990,MND-D4094CEB7B,Arunachal Pradesh,Dibang Valley,A,Dibang Valley — Primary Local Mandi,67,93.7,9,5,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-3FB45A24DF,LOC-22A2B03990,MND-9473AA744D,Arunachal Pradesh,Dibang Valley,B,Dibang Valley — Secondary Market Yard,41,53.1,8,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-71680A957E,LOC-22A2B03990,MND-E12756D003,Arunachal Pradesh,Dibang Valley,C,Dibang Valley — Regional Wholesale Market,73,98.3,8,9,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-6F192AEF98,LOC-3C4D14176C,MND-74857AA46B,Arunachal Pradesh,East Kameng,A,East Kameng — Primary Local Mandi,67,88.7,11,8,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-5671265C8A,LOC-3C4D14176C,MND-C6CEE43CBB,Arunachal Pradesh,East Kameng,B,East Kameng — Secondary Market Yard,61,81.1,6,8,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-10C0642BBB,LOC-3C4D14176C,MND-04C2BE91AE,Arunachal Pradesh,East Kameng,C,East Kameng — Regional Wholesale Market,20,42.0,10,11,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-F5B130AB6A,LOC-F41B834B5A,MND-8A680B91DC,Arunachal Pradesh,East Siang,A,East Siang — Primary Local Mandi,33,45.3,10,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-05582E4DEA,LOC-F41B834B5A,MND-146324E445,Arunachal Pradesh,East Siang,B,East Siang — Secondary Market Yard,32,57.2,14,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-E21B7A7D8F,LOC-F41B834B5A,MND-6053D6C5B9,Arunachal Pradesh,East Siang,C,East Siang — Regional Wholesale Market,73,86.3,13,7,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-E5C23CFF3A,LOC-80B5001CA9,MND-F7AF144ADB,Arunachal Pradesh,Kamle,A,Kamle — Primary Local Mandi,68,96.8,12,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-0246D0FB51,LOC-80B5001CA9,MND-FE65D3D8CB,Arunachal Pradesh,Kamle,B,Kamle — Secondary Market Yard,78,96.8,10,11,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-F99FAFC9B9,LOC-80B5001CA9,MND-315D14BA1F,Arunachal Pradesh,Kamle,C,Kamle — Regional Wholesale Market,22,39.2,6,8,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-D26CFE70E9,LOC-19243CC80A,MND-BFC1F63421,Arunachal Pradesh,Keyi Panyor,A,Keyi Panyor — Primary Local Mandi,30,51.0,13,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-4A21BE2660,LOC-19243CC80A,MND-510C39D750,Arunachal Pradesh,Keyi Panyor,B,Keyi Panyor — Secondary Market Yard,19,31.9,7,10,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-A80039CA49,LOC-19243CC80A,MND-DC9BACFAB4,Arunachal Pradesh,Keyi Panyor,C,Keyi Panyor — Regional Wholesale Market,29,48.9,11,9,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-5C9E8B8B16,LOC-73A71AB6F0,MND-A8D89B250D,Arunachal Pradesh,Kra Daadi,A,Kra Daadi — Primary Local Mandi,48,73.8,5,6,2,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
FML-8FE842109A,LOC-73A71AB6F0,MND-D493C2DE55,Arunachal Pradesh,Kra Daadi,B,Kra Daadi — Secondary Market Yard,26,39.6,9,11,1,TRUCK,FARMER_LOCAL_MANDI,2026-09-20,SYNTHETIC_DEMO
