lane_id,origin_location_id,origin_state,origin_district,destination_state,destination_city,destination_district,road_distance_km,freight_inr_per_quintal,fixed_lane_charge_inr,loading_inr_per_quintal,handling_inr_per_quintal,insurance_inr_per_quintal,expected_transit_days,mode,lane_type,use_case,effective_date,data_status
BLN-A23B7DE199,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Gujarat,Ahmedabad,Ahmedabad,955,549.6,1205,6,14,0.35,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-6A9CB3B3C2,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Haryana,Gurugram,Gurugram,891,531.32,618,11,15,0.5,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-EDE8E7D839,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Himachal Pradesh,Shimla,Shimla,1087,619.24,931,7,16,0.25,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-DA186FD713,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Jammu and Kashmir,Jammu,Jammu,1023,600.96,1244,12,17,0.4,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-378322FE34,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Jharkhand,Ranchi,Ranchi,959,553.68,657,8,18,0.55,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-5D2AC5BC0D,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Karnataka,Bengaluru,Bengaluru Urban,1155,670.6,970,13,19,0.3,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-38D7DA708A,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Kerala,Kochi,Ernakulam,1091,623.32,1283,9,20,0.45,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-F93302D69D,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Ladakh,Leh,Leh Ladakh,1287,740.24,696,14,8,0.2,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-489333BE34,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Lakshadweep,Kavaratti,Lakshadweep District,1223,692.96,1009,10,9,0.35,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-CC0FEFCA72,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Madhya Pradesh,Indore,Indore,1419,809.88,422,6,10,0.5,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-0953745E2B,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Maharashtra,Mumbai,Mumbai,1355,762.6,735,11,11,0.25,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-64512A424E,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Manipur,Imphal,Imphal West,1551,879.52,1048,7,12,0.4,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-1837511749,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Meghalaya,Shillong,East Khasi Hills,1487,832.24,461,12,13,0.55,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-CF7B163B1C,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Mizoram,Aizawl,Aizawl,1683,949.16,774,8,14,0.3,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-0173E3F398,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Nagaland,Dimapur,Dimapur,1619,901.88,1087,13,15,0.45,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-177D3116CC,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Odisha,Bhubaneswar,Khordha,1555,883.6,500,9,16,0.2,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-7850A56E94,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Puducherry,Puducherry,Puducherry,1751,971.52,813,14,17,0.35,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-3AD58B984E,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Punjab,Ludhiana,Ludhiana,1687,953.24,1126,10,18,0.5,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-6869C51199,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Rajasthan,Jaipur,Jaipur,1883,1041.16,539,6,19,0.25,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-9BD1EA8114,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Sikkim,Gangtok,Gangtok,1819,1022.88,852,11,20,0.4,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-54E985B22F,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Tamil Nadu,Chennai,Chennai,2015,1110.8,1165,7,8,0.55,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-22653D825B,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Telangana,Hyderabad,Hyderabad,1951,1092.52,578,12,9,0.3,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-52574E5E33,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Tripura,Agartala,West Tripura,2147,1180.44,891,8,10,0.45,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-0E9F2C8471,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Uttar Pradesh,Lucknow,Lucknow,2083,1162.16,1204,13,11,0.2,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-B54E13E3D3,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,Uttarakhand,Dehradun,Dehradun,2279,1250.08,617,9,12,0.35,6,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-CD9AF4ADB6,LOC-DBC2770203,Andaman and Nicobar Islands,Nicobars,West Bengal,Kolkata,Kolkata,2215,1202.8,930,14,13,0.5,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-094BA136DE,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Andaman and Nicobar Islands,Port Blair,South Andamans,185,174.2,794,11,20,0.5,1,TRUCK,INTRA_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-BCBB75C3F0,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Andhra Pradesh,Vijayawada,NTR,244,190.88,1107,7,8,0.25,1,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-CA08BCF35E,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Arunachal Pradesh,Itanagar,Papum Pare,440,307.8,520,12,9,0.4,1,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-C53B1ACABD,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Assam,Guwahati,Kamrup Metro,376,260.52,833,8,10,0.55,1,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-0406F69664,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Bihar,Patna,Patna,572,348.44,1146,13,11,0.3,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-6B25501B52,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Chandigarh,Chandigarh,Chandigarh,508,330.16,559,9,12,0.45,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-D031572C33,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Chhattisgarh,Raipur,Raipur,704,418.08,872,14,13,0.2,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-E863CF5145,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Dadra And Nagar Haveli,640,399.8,1185,10,14,0.35,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-4420534BD7,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Delhi,Delhi,New Delhi,836,487.72,598,6,15,0.5,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-9CBD6DF1CD,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Goa,Panaji,North Goa,772,469.44,911,11,16,0.25,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-1F86CAC2DF,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Gujarat,Ahmedabad,Ahmedabad,968,557.36,1224,7,17,0.4,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-916FC48381,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Haryana,Gurugram,Gurugram,904,539.08,637,12,18,0.55,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-B3D7BB1C3A,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Himachal Pradesh,Shimla,Shimla,840,491.8,950,8,19,0.3,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-1C7BD579EB,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Jammu and Kashmir,Jammu,Jammu,1036,608.72,1263,13,20,0.45,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-5B39C694F5,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Jharkhand,Ranchi,Ranchi,972,561.44,676,9,8,0.2,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-209276E052,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Karnataka,Bengaluru,Bengaluru Urban,1168,678.36,989,14,9,0.35,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-CF7EC05AD3,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Kerala,Kochi,Ernakulam,1104,631.08,402,10,10,0.5,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-5AAE738F5F,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Ladakh,Leh,Leh Ladakh,1300,748.0,715,6,11,0.25,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-04E7FF68E2,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Lakshadweep,Kavaratti,Lakshadweep District,1236,700.72,1028,11,12,0.4,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-F4005E7D5A,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Madhya Pradesh,Indore,Indore,1432,817.64,441,7,13,0.55,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-841EECF28C,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Maharashtra,Mumbai,Mumbai,1368,770.36,754,12,14,0.3,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-B460BDD84E,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Manipur,Imphal,Imphal West,1564,887.28,1067,8,15,0.45,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-1D2DDBF5E8,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Meghalaya,Shillong,East Khasi Hills,1500,840.0,480,13,16,0.2,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-EF683D9C09,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Mizoram,Aizawl,Aizawl,1696,956.92,793,9,17,0.35,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-18C7E6D4DF,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Nagaland,Dimapur,Dimapur,1632,909.64,1106,14,18,0.5,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-43F01D5357,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Odisha,Bhubaneswar,Khordha,1568,891.36,519,10,19,0.25,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-5CF71E724F,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Puducherry,Puducherry,Puducherry,1764,979.28,832,6,20,0.4,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-E5624055E6,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Punjab,Ludhiana,Ludhiana,1700,961.0,1145,11,8,0.55,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-268DAFD36F,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Rajasthan,Jaipur,Jaipur,1896,1048.92,558,7,9,0.3,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-D1D0697839,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Sikkim,Gangtok,Gangtok,1832,1030.64,871,12,10,0.45,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-AAC42A0B68,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Tamil Nadu,Chennai,Chennai,2028,1118.56,1184,8,11,0.2,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-5355F5C905,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Telangana,Hyderabad,Hyderabad,1964,1100.28,597,13,12,0.35,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-5BF80CD34A,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Tripura,Agartala,West Tripura,2160,1188.2,910,9,13,0.5,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-A2775B3847,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Uttar Pradesh,Lucknow,Lucknow,2096,1140.92,1223,14,14,0.25,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-024B494D6B,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,Uttarakhand,Dehradun,Dehradun,2292,1257.84,636,10,15,0.4,6,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-8EFB1A4726,LOC-842205D316,Andaman and Nicobar Islands,North And Middle Andaman,West Bengal,Kolkata,Kolkata,2228,1210.56,949,6,16,0.55,5,FULL_TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-1E62544F27,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Andaman and Nicobar Islands,Port Blair,South Andamans,202,184.04,813,12,10,0.55,1,TRUCK,INTRA_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-20AED453C0,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Andhra Pradesh,Vijayawada,NTR,257,198.64,1126,8,11,0.3,1,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-E02437F609,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Arunachal Pradesh,Itanagar,Papum Pare,453,286.56,539,13,12,0.45,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-ED7283B8E8,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Assam,Guwahati,Kamrup Metro,389,268.28,852,9,13,0.2,1,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-A2D5634CB4,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Bihar,Patna,Patna,585,356.2,1165,14,14,0.35,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-82618C4353,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Chandigarh,Chandigarh,Chandigarh,521,337.92,578,10,15,0.5,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-70240CAE3A,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Chhattisgarh,Raipur,Raipur,717,425.84,891,6,16,0.25,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-1242FD0A0B,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Dadra And Nagar Haveli,653,407.56,1204,11,17,0.4,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-9E99C1043E,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Delhi,Delhi,New Delhi,849,495.48,617,7,18,0.55,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-8F9E4F396C,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Goa,Panaji,North Goa,785,477.2,930,12,19,0.3,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-5306AE200D,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Gujarat,Ahmedabad,Ahmedabad,981,565.12,1243,8,20,0.45,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-FF84C06D0A,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Haryana,Gurugram,Gurugram,917,546.84,656,13,8,0.2,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-00BE41BCC1,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Himachal Pradesh,Shimla,Shimla,853,499.56,969,9,9,0.35,2,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-F7698465F7,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Jammu and Kashmir,Jammu,Jammu,1049,616.48,1282,14,10,0.5,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-D501FAC515,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Jharkhand,Ranchi,Ranchi,985,569.2,695,10,11,0.25,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-B47F8359FF,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Karnataka,Bengaluru,Bengaluru Urban,1181,686.12,1008,6,12,0.4,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-4713DD8342,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Kerala,Kochi,Ernakulam,1117,638.84,421,11,13,0.55,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-A8B238162A,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Ladakh,Leh,Leh Ladakh,1313,755.76,734,7,14,0.3,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-F5845784E8,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Lakshadweep,Kavaratti,Lakshadweep District,1249,708.48,1047,12,15,0.45,3,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-EA63AD0E50,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Madhya Pradesh,Indore,Indore,1445,825.4,460,8,16,0.2,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-BAEE4651D1,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Maharashtra,Mumbai,Mumbai,1381,778.12,773,13,17,0.35,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-E5D40C04C3,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Manipur,Imphal,Imphal West,1577,895.04,1086,9,18,0.5,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-29BC970E6F,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Meghalaya,Shillong,East Khasi Hills,1513,847.76,499,14,19,0.25,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-8A2869FF9D,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Mizoram,Aizawl,Aizawl,1449,829.48,812,10,20,0.4,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-0BA356C70A,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Nagaland,Dimapur,Dimapur,1645,917.4,1125,6,8,0.55,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
BLN-E6261959A1,LOC-0D5274856D,Andaman and Nicobar Islands,South Andamans,Odisha,Bhubaneswar,Khordha,1581,899.12,538,11,9,0.3,4,TRUCK,INTER_STATE,BULK_RFQ_AND_MARKETPLACE,2026-09-20,SYNTHETIC_DEMO
