location_id,state,district,location_type,display_name,primary_buyer_hub_city,primary_buyer_hub_district,data_status,verified
LOC-9DBD93A78A,Andhra Pradesh,Tirupati,DISTRICT,"Tirupati, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-78DC13EB3B,Andhra Pradesh,Visakhapatnam,DISTRICT,"Visakhapatnam, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-5CA6AF75F0,Andhra Pradesh,Vizianagaram,DISTRICT,"Vizianagaram, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-437766248E,Andhra Pradesh,West Godavari,DISTRICT,"West Godavari, Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-E469226677,Andhra Pradesh,Y.S.R.,DISTRICT,"Y.S.R., Andhra Pradesh",Vijayawada,NTR,SYNTHETIC_DEMO,FALSE
LOC-23FA91BB84,Arunachal Pradesh,Anjaw,DISTRICT,"Anjaw, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-490D6DBA81,Arunachal Pradesh,Bichom,DISTRICT,"Bichom, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-D2DA922D02,Arunachal Pradesh,Changlang,DISTRICT,"Changlang, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-22A2B03990,Arunachal Pradesh,Dibang Valley,DISTRICT,"Dibang Valley, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-3C4D14176C,Arunachal Pradesh,East Kameng,DISTRICT,"East Kameng, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-F41B834B5A,Arunachal Pradesh,East Siang,DISTRICT,"East Siang, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-80B5001CA9,Arunachal Pradesh,Kamle,DISTRICT,"Kamle, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-19243CC80A,Arunachal Pradesh,Keyi Panyor,DISTRICT,"Keyi Panyor, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-73A71AB6F0,Arunachal Pradesh,Kra Daadi,DISTRICT,"Kra Daadi, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-53127136EC,Arunachal Pradesh,Kurung Kumey,DISTRICT,"Kurung Kumey, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-D6B6C6F872,Arunachal Pradesh,Leparada,DISTRICT,"Leparada, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-D5D75F3E15,Arunachal Pradesh,Lohit,DISTRICT,"Lohit, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-07D8CDEEEB,Arunachal Pradesh,Longding,DISTRICT,"Longding, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-335F2A324D,Arunachal Pradesh,Lower Dibang Valley,DISTRICT,"Lower Dibang Valley, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-655972E917,Arunachal Pradesh,Lower Siang,DISTRICT,"Lower Siang, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-72DD635FBF,Arunachal Pradesh,Lower Subansiri,DISTRICT,"Lower Subansiri, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-079BCE8840,Arunachal Pradesh,Namsai,DISTRICT,"Namsai, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-9158B6EDCD,Arunachal Pradesh,Pakke Kessang,DISTRICT,"Pakke Kessang, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-C68D37F2A6,Arunachal Pradesh,Papum Pare,DISTRICT,"Papum Pare, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-7AAD6EB764,Arunachal Pradesh,Shi Yomi,DISTRICT,"Shi Yomi, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-E44AF9D74A,Arunachal Pradesh,Siang,DISTRICT,"Siang, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-F8597C3BDB,Arunachal Pradesh,Tawang,DISTRICT,"Tawang, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-EFB161F39E,Arunachal Pradesh,Tirap,DISTRICT,"Tirap, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-087172D569,Arunachal Pradesh,Upper Siang,DISTRICT,"Upper Siang, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-7B7EC28801,Arunachal Pradesh,Upper Subansiri,DISTRICT,"Upper Subansiri, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-659CE4DB8D,Arunachal Pradesh,West Kameng,DISTRICT,"West Kameng, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-7D584E4438,Arunachal Pradesh,West Siang,DISTRICT,"West Siang, Arunachal Pradesh",Itanagar,Papum Pare,SYNTHETIC_DEMO,FALSE
LOC-00781000CA,Assam,Bajali,DISTRICT,"Bajali, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-4587BB8B45,Assam,Baksa,DISTRICT,"Baksa, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-1E29F948B9,Assam,Barpeta,DISTRICT,"Barpeta, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-C892B37BBF,Assam,Biswanath,DISTRICT,"Biswanath, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-1E72B47829,Assam,Bongaigaon,DISTRICT,"Bongaigaon, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-3E3DE518DF,Assam,Cachar,DISTRICT,"Cachar, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-944CD47104,Assam,Charaideo,DISTRICT,"Charaideo, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-7EAB129F9B,Assam,Chirang,DISTRICT,"Chirang, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-32BB78744F,Assam,Darrang,DISTRICT,"Darrang, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-7FCC93EA9E,Assam,Dhemaji,DISTRICT,"Dhemaji, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-8A16DDBB79,Assam,Dhubri,DISTRICT,"Dhubri, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-A6BDB5463F,Assam,Dibrugarh,DISTRICT,"Dibrugarh, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-4B423B5772,Assam,Dima Hasao,DISTRICT,"Dima Hasao, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-A53E1AD12B,Assam,Goalpara,DISTRICT,"Goalpara, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-4F54279EB5,Assam,Golaghat,DISTRICT,"Golaghat, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-5AC18B99B7,Assam,Hailakandi,DISTRICT,"Hailakandi, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-79209FA47E,Assam,Hojai,DISTRICT,"Hojai, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-9B7372DE32,Assam,Jorhat,DISTRICT,"Jorhat, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-4B2F6050E6,Assam,Kamrup,DISTRICT,"Kamrup, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-30E4D8ED84,Assam,Kamrup Metro,DISTRICT,"Kamrup Metro, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-FB5F87B3F4,Assam,Karbi Anglong,DISTRICT,"Karbi Anglong, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-491899461D,Assam,Kokrajhar,DISTRICT,"Kokrajhar, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-1739FFD0A2,Assam,Lakhimpur,DISTRICT,"Lakhimpur, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-C4E955A75C,Assam,Majuli,DISTRICT,"Majuli, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-88B82C45D8,Assam,Marigaon,DISTRICT,"Marigaon, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-969825558D,Assam,Nagaon,DISTRICT,"Nagaon, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-96D1B0C0DC,Assam,Nalbari,DISTRICT,"Nalbari, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-81C33DD8C3,Assam,Sivasagar,DISTRICT,"Sivasagar, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-E3365B10CE,Assam,Sonitpur,DISTRICT,"Sonitpur, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-1D2332BFA9,Assam,South Salmara Mancachar,DISTRICT,"South Salmara Mancachar, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-45FC841462,Assam,Tinsukia,DISTRICT,"Tinsukia, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-B1D96B0019,Assam,Udalguri,DISTRICT,"Udalguri, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-378330CF9A,Assam,West Karbi Anglong,DISTRICT,"West Karbi Anglong, Assam",Guwahati,Kamrup Metro,SYNTHETIC_DEMO,FALSE
LOC-18544CEBCB,Bihar,Araria,DISTRICT,"Araria, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-C8DB06B371,Bihar,Arwal,DISTRICT,"Arwal, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-813F2FE1D8,Bihar,Aurangabad,DISTRICT,"Aurangabad, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-D619F7E21F,Bihar,Banka,DISTRICT,"Banka, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-DAE987CC4F,Bihar,Begusarai,DISTRICT,"Begusarai, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-C700824702,Bihar,Bhagalpur,DISTRICT,"Bhagalpur, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-0E5EEC2EDB,Bihar,Bhojpur,DISTRICT,"Bhojpur, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-E7685FB09A,Bihar,Buxar,DISTRICT,"Buxar, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-0EBC199325,Bihar,Darbhanga,DISTRICT,"Darbhanga, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-F2852EC79F,Bihar,Gaya,DISTRICT,"Gaya, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-B631889074,Bihar,Gopalganj,DISTRICT,"Gopalganj, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-6BFD2EF65C,Bihar,Jamui,DISTRICT,"Jamui, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-99821D8AC1,Bihar,Jehanabad,DISTRICT,"Jehanabad, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-A78D397CEE,Bihar,Kaimur (Bhabua),DISTRICT,"Kaimur (Bhabua), Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-B7808EEBDB,Bihar,Katihar,DISTRICT,"Katihar, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-AEB2F2307B,Bihar,Khagaria,DISTRICT,"Khagaria, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-8011B4C628,Bihar,Kishanganj,DISTRICT,"Kishanganj, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-0E179F8BBF,Bihar,Lakhisarai,DISTRICT,"Lakhisarai, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-0F5F4BAD14,Bihar,Madhepura,DISTRICT,"Madhepura, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-E684B389E9,Bihar,Madhubani,DISTRICT,"Madhubani, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-26B20D33F1,Bihar,Munger,DISTRICT,"Munger, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-4006442481,Bihar,Muzaffarpur,DISTRICT,"Muzaffarpur, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-E18B9153A0,Bihar,Nalanda,DISTRICT,"Nalanda, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-5ED7E0AB25,Bihar,Nawada,DISTRICT,"Nawada, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-8B76647A72,Bihar,Pashchim Champaran,DISTRICT,"Pashchim Champaran, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-5360AD6AD6,Bihar,Patna,DISTRICT,"Patna, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-92DE69F36A,Bihar,Purbi Champaran,DISTRICT,"Purbi Champaran, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-A1C551C268,Bihar,Purnia,DISTRICT,"Purnia, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-CD6AF43ED4,Bihar,Rohtas,DISTRICT,"Rohtas, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-6BD7C4CAEC,Bihar,Saharsa,DISTRICT,"Saharsa, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-B1DDA7AB17,Bihar,Samastipur,DISTRICT,"Samastipur, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-E0464B0E57,Bihar,Saran,DISTRICT,"Saran, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-5399A17E3A,Bihar,Sheikhpura,DISTRICT,"Sheikhpura, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-6958180F6A,Bihar,Sheohar,DISTRICT,"Sheohar, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-3A84109942,Bihar,Sitamarhi,DISTRICT,"Sitamarhi, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-9E2FC60C59,Bihar,Siwan,DISTRICT,"Siwan, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-7CEB0A3B91,Bihar,Supaul,DISTRICT,"Supaul, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-EE3B26DB09,Bihar,Vaishali,DISTRICT,"Vaishali, Bihar",Patna,Patna,SYNTHETIC_DEMO,FALSE
LOC-D844870B41,Chandigarh,Chandigarh,DISTRICT,"Chandigarh, Chandigarh",Chandigarh,Chandigarh,SYNTHETIC_DEMO,FALSE
LOC-B3B74D80B4,Chhattisgarh,Balod,DISTRICT,"Balod, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-E363F1A211,Chhattisgarh,Balodabazar-Bhatapara,DISTRICT,"Balodabazar-Bhatapara, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-25B38ACAC3,Chhattisgarh,Balrampur-Ramanujganj,DISTRICT,"Balrampur-Ramanujganj, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-16820161C3,Chhattisgarh,Bastar,DISTRICT,"Bastar, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-A8B7A22E0F,Chhattisgarh,Bemetara,DISTRICT,"Bemetara, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-04AAA40ACA,Chhattisgarh,Bijapur,DISTRICT,"Bijapur, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-6F902B8512,Chhattisgarh,Bilaspur,DISTRICT,"Bilaspur, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-BBC996C2F8,Chhattisgarh,Dakshin Bastar Dantewada,DISTRICT,"Dakshin Bastar Dantewada, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-5D42CB9714,Chhattisgarh,Dhamtari,DISTRICT,"Dhamtari, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-5D44365D8A,Chhattisgarh,Durg,DISTRICT,"Durg, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-07B896E78C,Chhattisgarh,Gariyaband,DISTRICT,"Gariyaband, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-7FD5764EDD,Chhattisgarh,Gaurela-Pendra-Marwahi,DISTRICT,"Gaurela-Pendra-Marwahi, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-8272733222,Chhattisgarh,Janjgir-Champa,DISTRICT,"Janjgir-Champa, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-16ED0580EE,Chhattisgarh,Jashpur,DISTRICT,"Jashpur, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-0A98F06D2B,Chhattisgarh,Kabeerdham,DISTRICT,"Kabeerdham, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-0D90199A96,Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,DISTRICT,"Khairagarh-Chhuikhadan-Gandai, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-7E4E31A73E,Chhattisgarh,Kondagaon,DISTRICT,"Kondagaon, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-55550E20C3,Chhattisgarh,Korba,DISTRICT,"Korba, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-18372EF257,Chhattisgarh,Korea,DISTRICT,"Korea, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-C654C5763B,Chhattisgarh,Mahasamund,DISTRICT,"Mahasamund, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-66A7764468,Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,DISTRICT,"Manendragarh-Chirmiri-Bharatpur, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-5FDD0C9CB6,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,DISTRICT,"Mohla-Manpur-Ambagarh Chouki, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-07697757A2,Chhattisgarh,Mungeli,DISTRICT,"Mungeli, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-E4D78E381A,Chhattisgarh,Narayanpur,DISTRICT,"Narayanpur, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-E24AF2B6CE,Chhattisgarh,Raigarh,DISTRICT,"Raigarh, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-1AF8B9BE25,Chhattisgarh,Raipur,DISTRICT,"Raipur, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-7A74986072,Chhattisgarh,Rajnandgaon,DISTRICT,"Rajnandgaon, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-E544443BA9,Chhattisgarh,Sakti,DISTRICT,"Sakti, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-47F36CD5C0,Chhattisgarh,Sarangarh-Bilaigarh,DISTRICT,"Sarangarh-Bilaigarh, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-61F73935C0,Chhattisgarh,Sukma,DISTRICT,"Sukma, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-E5CF2D71FD,Chhattisgarh,Surajpur,DISTRICT,"Surajpur, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-28EA322E00,Chhattisgarh,Surguja,DISTRICT,"Surguja, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-C0370BDBCD,Chhattisgarh,Uttar Bastar Kanker,DISTRICT,"Uttar Bastar Kanker, Chhattisgarh",Raipur,Raipur,SYNTHETIC_DEMO,FALSE
LOC-57CC0E10B5,Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,DISTRICT,"Dadra And Nagar Haveli, Dadra and Nagar Haveli and Daman and Diu",Silvassa,Dadra And Nagar Haveli,SYNTHETIC_DEMO,FALSE
LOC-B444AF5DE0,Dadra and Nagar Haveli and Daman and Diu,Daman,DISTRICT,"Daman, Dadra and Nagar Haveli and Daman and Diu",Silvassa,Dadra And Nagar Haveli,SYNTHETIC_DEMO,FALSE
LOC-52AC92626C,Dadra and Nagar Haveli and Daman and Diu,Diu,DISTRICT,"Diu, Dadra and Nagar Haveli and Daman and Diu",Silvassa,Dadra And Nagar Haveli,SYNTHETIC_DEMO,FALSE
LOC-68D60DF254,Delhi,Central,DISTRICT,"Central, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-64E146C459,Delhi,East,DISTRICT,"East, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-503AD28F21,Delhi,New Delhi,DISTRICT,"New Delhi, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-6AF782D511,Delhi,North,DISTRICT,"North, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-1C49D006F6,Delhi,North East,DISTRICT,"North East, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-9990B7B1FD,Delhi,North West,DISTRICT,"North West, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-2CEF692855,Delhi,Shahdara,DISTRICT,"Shahdara, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-B829B8B09C,Delhi,South,DISTRICT,"South, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-0816224D0F,Delhi,South East,DISTRICT,"South East, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-2527E1F43F,Delhi,South West,DISTRICT,"South West, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-17E3B8052D,Delhi,West,DISTRICT,"West, Delhi",Delhi,New Delhi,SYNTHETIC_DEMO,FALSE
LOC-FBA70E4A42,Goa,Kushavati,DISTRICT,"Kushavati, Goa",Panaji,North Goa,SYNTHETIC_DEMO,FALSE
